,outflow,outflow,outflow,outflow,outflow,inflow,inflow,inflow,inflow,inflow,data
16,WEEE_generatedComplementaryUndocumented,WEEE_Cat3,,,,WEEE_generatedDedicated,WEEE_Cat3,,,,0.23
17,WEEE_generatedComplementaryUndocumented,WEEE_Cat4a,,,,WEEE_generatedDedicated,WEEE_Cat4a,,,,0.37
18,WEEE_generatedComplementaryUndocumented,WEEE_Cat4b,,,,WEEE_generatedDedicated,WEEE_Cat4b,,,,0.25
19,WEEE_generatedComplementaryUndocumented,WEEE_Cat5,,,,WEEE_generatedDedicated,WEEE_Cat5,,,,0.24
20,WEEE_generatedComplementaryUndocumented,WEEE_Cat6,,,,WEEE_generatedDedicated,WEEE_Cat6,,,,0.44
21,WEEE_generatedComplementaryMSW,WEEE_Cat2,,,,WEEE_generatedDedicated,WEEE_Cat2,,,,0.52
22,WEEE_generatedComplementaryMSW,WEEE_Cat1,,,,WEEE_generatedDedicated,WEEE_Cat1,,,,0.55
23,WEEE_generatedComplementaryMSW,WEEE_Cat3,,,,WEEE_generatedDedicated,WEEE_Cat3,,,,0.57
24,WEEE_generatedComplementaryMSW,WEEE_Cat4a,,,,WEEE_generatedDedicated,WEEE_Cat4a,,,,0.37
25,WEEE_generatedComplementaryMSW,WEEE_Cat4b,,,,WEEE_generatedDedicated,WEEE_Cat4b,,,,0.29
26,WEEE_generatedComplementaryMSW,WEEE_Cat5,,,,WEEE_generatedDedicated,WEEE_Cat5,,,,0.41
27,WEEE_generatedComplementaryMSW,WEEE_Cat6,,,,WEEE_generatedDedicated,WEEE_Cat6,,,,0.05
28,WEEE_collected,WEEE_Cat1,,,,WEEE_generatedDedicated,WEEE_Cat1,,,,0.56
29,WEEE_collected,WEEE_Cat2,,,,WEEE_generatedDedicated,WEEE_Cat2,,,,0.18
30,WEEE_collected,WEEE_Cat3,,,,WEEE_generatedDedicated,WEEE_Cat3,,,,0.17
31,WEEE_collected,WEEE_Cat4a,,,,WEEE_generatedDedicated,WEEE_Cat4a,,,,0.27
32,WEEE_collected,WEEE_Cat4b,,,,WEEE_generatedDedicated,WEEE_Cat4b,,,,0.37
33,WEEE_collected,WEEE_Cat5,,,,WEEE_generatedDedicated,WEEE_Cat5,,,,0.11
34,WEEE_collected,WEEE_Cat6,,,,WEEE_generatedDedicated,WEEE_Cat6,,,,0.32
35,WEEE_wasteBinLandfill,WEEE_Cat1,,,,WEEE_generatedComplementaryMSW,WEEE_Cat1,,,,0.36
36,WEEE_wasteBinLandfill,WEEE_Cat2,,,,WEEE_generatedComplementaryMSW,WEEE_Cat2,,,,0.17
37,WEEE_wasteBinLandfill,WEEE_Cat3,,,,WEEE_generatedComplementaryMSW,WEEE_Cat3,,,,0.29
38,WEEE_wasteBinLandfill,WEEE_Cat4a,,,,WEEE_generatedComplementaryMSW,WEEE_Cat4a,,,,0.29
39,WEEE_wasteBinLandfill,WEEE_Cat4b,,,,WEEE_generatedComplementaryMSW,WEEE_Cat4b,,,,0.21
40,WEEE_wasteBinLandfill,WEEE_Cat5,,,,WEEE_generatedComplementaryMSW,WEEE_Cat5,,,,0.33
41,WEEE_wasteBinLandfill,WEEE_Cat6,,,,WEEE_generatedComplementaryMSW,WEEE_Cat6,,,,0.37
42,WEEE_wasteBinIncineration,WEEE_Cat1,,,,WEEE_generatedComplementaryMSW,WEEE_Cat1,,,,0.15
43,WEEE_wasteBinIncineration,WEEE_Cat2,,,,WEEE_generatedComplementaryMSW,WEEE_Cat2,,,,0.21
44,WEEE_wasteBinIncineration,WEEE_Cat3,,,,WEEE_generatedComplementaryMSW,WEEE_Cat3,,,,0.34
45,WEEE_wasteBinIncineration,WEEE_Cat4a,,,,WEEE_generatedComplementaryMSW,WEEE_Cat4a,,,,0.57
46,WEEE_wasteBinIncineration,WEEE_Cat4b,,,,WEEE_generatedComplementaryMSW,WEEE_Cat4b,,,,0.54
47,WEEE_wasteBinIncineration,WEEE_Cat5,,,,WEEE_generatedComplementaryMSW,WEEE_Cat5,,,,0.34
48,WEEE_wasteBinIncineration,WEEE_Cat6,,,,WEEE_generatedComplementaryMSW,WEEE_Cat6,,,,0.4
49,WEEE_categ_mechRec1,WEEE_Cat1,,,,WEEE_collected,WEEE_Cat1,,,,0.34
50,WEEE_categ_mechRec1,WEEE_Cat6,,,,WEEE_collected,WEEE_Cat6,,,,0.17
51,WEEE_categ_mechRec1,WEEE_Cat2,,,,WEEE_collected,WEEE_Cat2,,,,0.54
52,WEEE_categ_mechRec1,WEEE_Cat4a,,,,WEEE_collected,WEEE_Cat4a,,,,0.14
53,WEEE_categ_mechRec1,WEEE_Cat5,,,,WEEE_collected,WEEE_Cat5,,,,0.14
54,WEEE_categ_mechRec1,WEEE_Cat4b,,,,WEEE_collected,WEEE_Cat4b,,,,0.08
55,WEEE_categ_mechRec1,WEEE_Cat3,,,,WEEE_collected,WEEE_Cat3,,,,0.4
56,WEEE_categ_mechRec2,WEEE_Cat1,,,,WEEE_collected,WEEE_Cat1,,,,0.49
57,WEEE_categ_mechRec2,WEEE_Cat6,,,,WEEE_collected,WEEE_Cat6,,,,0.57
58,WEEE_categ_mechRec2,WEEE_Cat2,,,,WEEE_collected,WEEE_Cat2,,,,0.09
59,WEEE_categ_mechRec2,WEEE_Cat4a,,,,WEEE_collected,WEEE_Cat4a,,,,0.42
60,WEEE_categ_mechRec2,WEEE_Cat5,,,,WEEE_collected,WEEE_Cat5,,,,0.4
61,WEEE_categ_mechRec2,WEEE_Cat4b,,,,WEEE_collected,WEEE_Cat4b,,,,0.55
62,WEEE_categ_mechRec2,WEEE_Cat3,,,,WEEE_collected,WEEE_Cat3,,,,0.27
63,WEEE_mechRec1_mechRec2,,ComponentShadowWEEE,,,WEEE_categ_mechRec1,WEEE_Cat1,ComponentShadowWEEE,,,0.48
64,WEEE_mechRec1_mechRec2,,ConductivitySensor,,,WEEE_categ_mechRec1,WEEE_Cat6,ConductivitySensor,,,0.32
65,WEEE_mechRec1_mechRec2,,LED,,,WEEE_categ_mechRec1,WEEE_Cat2,LED,,,0.27
66,WEEE_mechRec1_mechRec2,,LidarSensor (&lt;15cm),,,WEEE_categ_mechRec1,WEEE_Cat4a,LidarSensor (&lt;15cm),,,0.37
67,WEEE_mechRec1_mechRec2,,MagnetSensor,,,WEEE_categ_mechRec1,WEEE_Cat5,MagnetSensor,,,0.34
68,WEEE_mechRec1_mechRec2,,PCBWEEECat,,,WEEE_categ_mechRec1,WEEE_Cat4b,PCBWEEECat,,,0.17
69,WEEE_mechRec1_mechRec2,,PCBunspecified,,,WEEE_categ_mechRec1,WEEE_Cat3,PCBunspecified,,,0.59
70,WEEE_mechRec1_mechRec2,,PVBacksheet,,,WEEE_categ_mechRec1,WEEE_Cat1,PVBacksheet,,,0.57
71,WEEE_mechRec1_mechRec2,,PVEncapsulationEVA,,,WEEE_categ_mechRec1,WEEE_Cat6,PVEncapsulationEVA,,,0.35
72,WEEE_mechRec1_mechRec2,,PVFrameAl,,,WEEE_categ_mechRec1,WEEE_Cat2,PVFrameAl,,,0.5
73,WEEE_mechRec1_mechRec2,,PVSolarGlass,,,WEEE_categ_mechRec1,WEEE_Cat4a,PVSolarGlass,,,0.32
74,WEEE_mechRec1_mechRec2,,PVcellSi,,,WEEE_categ_mechRec1,WEEE_Cat5,PVcellSi,,,0.42
75,WEEE_mechRec1_mechRec2,,WEEEEvaporator,,,WEEE_categ_mechRec1,WEEE_Cat4b,WEEEEvaporator,,,0.15
76,WEEE_mechRec1_mechRec2,,brush,,,WEEE_categ_mechRec1,WEEE_Cat3,brush,,,0.45
77,WEEE_mechRec1_mechRec2,,cableUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat1,cableUnspecified,,,0.09
78,WEEE_mechRec1_mechRec2,,cableWOPlug,,,WEEE_categ_mechRec1,WEEE_Cat6,cableWOPlug,,,0.44
79,WEEE_mechRec1_mechRec2,,cableWPlug,,,WEEE_categ_mechRec1,WEEE_Cat2,cableWPlug,,,0.34
80,WEEE_mechRec1_mechRec2,,cableWithConnector,,,WEEE_categ_mechRec1,WEEE_Cat4a,cableWithConnector,,,0.46
81,WEEE_mechRec1_mechRec2,,cables,,,WEEE_categ_mechRec1,WEEE_Cat5,cables,,,0.47
82,WEEE_mechRec1_mechRec2,,cablewire,,,WEEE_categ_mechRec1,WEEE_Cat4b,cablewire,,,0.07
83,WEEE_mechRec1_mechRec2,,capElectrolytic,,,WEEE_categ_mechRec1,WEEE_Cat3,capElectrolytic,,,0.19
84,WEEE_mechRec1_mechRec2,,casingPlasticBased,,,WEEE_categ_mechRec1,WEEE_Cat1,casingPlasticBased,,,0.35
85,WEEE_mechRec1_mechRec2,,casingSteelBased,,,WEEE_categ_mechRec1,WEEE_Cat6,casingSteelBased,,,0.09
86,WEEE_mechRec1_mechRec2,,casingUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat2,casingUnspecified,,,0.11
87,WEEE_mechRec1_mechRec2,,coldCathodeLamp,,,WEEE_categ_mechRec1,WEEE_Cat4a,coldCathodeLamp,,,0.26
88,WEEE_mechRec1_mechRec2,,compContainHazardSubst,,,WEEE_categ_mechRec1,WEEE_Cat5,compContainHazardSubst,,,0.41
89,WEEE_mechRec1_mechRec2,,compressor,,,WEEE_categ_mechRec1,WEEE_Cat4b,compressor,,,0.46
90,WEEE_mechRec1_mechRec2,,condensator,,,WEEE_categ_mechRec1,WEEE_Cat3,condensator,,,0.12
91,WEEE_mechRec1_mechRec2,,contactor,,,WEEE_categ_mechRec1,WEEE_Cat1,contactor,,,0.56
92,WEEE_mechRec1_mechRec2,,displayCRT,,,WEEE_categ_mechRec1,WEEE_Cat6,displayCRT,,,0.18
93,WEEE_mechRec1_mechRec2,,displayLCD,,,WEEE_categ_mechRec1,WEEE_Cat2,displayLCD,,,0.58
94,WEEE_mechRec1_mechRec2,,displayLCDunder100cm2,,,WEEE_categ_mechRec1,WEEE_Cat4a,displayLCDunder100cm2,,,0.07
95,WEEE_mechRec1_mechRec2,,displayOther,,,WEEE_categ_mechRec1,WEEE_Cat5,displayOther,,,0.07
96,WEEE_mechRec1_mechRec2,,displayPlasma,,,WEEE_categ_mechRec1,WEEE_Cat4b,displayPlasma,,,0.07
97,WEEE_mechRec1_mechRec2,,driveCDDExt,,,WEEE_categ_mechRec1,WEEE_Cat3,driveCDDExt,,,0.28
98,WEEE_mechRec1_mechRec2,,driveCDDInt,,,WEEE_categ_mechRec1,WEEE_Cat1,driveCDDInt,,,0.54
99,WEEE_mechRec1_mechRec2,,driveFDD,,,WEEE_categ_mechRec1,WEEE_Cat6,driveFDD,,,0.36
100,WEEE_mechRec1_mechRec2,,driveHDD,,,WEEE_categ_mechRec1,WEEE_Cat2,driveHDD,,,0.28
101,WEEE_mechRec1_mechRec2,,driveUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat4a,driveUnspecified,,,0.1
102,WEEE_mechRec1_mechRec2,,electricEngine,,,WEEE_categ_mechRec1,WEEE_Cat5,electricEngine,,,0.19
103,WEEE_mechRec1_mechRec2,,filterFoamBased,,,WEEE_categ_mechRec1,WEEE_Cat4b,filterFoamBased,,,0.21
104,WEEE_mechRec1_mechRec2,,fuse,,,WEEE_categ_mechRec1,WEEE_Cat3,fuse,,,0.33
105,WEEE_mechRec1_mechRec2,,gear,,,WEEE_categ_mechRec1,WEEE_Cat1,gear,,,0.17
106,WEEE_mechRec1_mechRec2,,heatingCoolingEEEairCondenser,,,WEEE_categ_mechRec1,WEEE_Cat6,heatingCoolingEEEairCondenser,,,0.18
107,WEEE_mechRec1_mechRec2,,heatingCoolingEEEfan,,,WEEE_categ_mechRec1,WEEE_Cat2,heatingCoolingEEEfan,,,0.4
108,WEEE_mechRec1_mechRec2,,heatingCoolingEEEheatSink,,,WEEE_categ_mechRec1,WEEE_Cat4a,heatingCoolingEEEheatSink,,,0.22
109,WEEE_mechRec1_mechRec2,,inductor,,,WEEE_categ_mechRec1,WEEE_Cat5,inductor,,,0.46
110,WEEE_mechRec1_mechRec2,,insulation,,,WEEE_categ_mechRec1,WEEE_Cat4b,insulation,,,0.3
111,WEEE_mechRec1_mechRec2,,keyboard,,,WEEE_categ_mechRec1,WEEE_Cat3,keyboard,,,0.42
112,WEEE_mechRec1_mechRec2,,knob,,,WEEE_categ_mechRec1,WEEE_Cat1,knob,,,0.11
113,WEEE_mechRec1_mechRec2,,lenseAssembly,,,WEEE_categ_mechRec1,WEEE_Cat6,lenseAssembly,,,0.28
114,WEEE_mechRec1_mechRec2,,lighting,,,WEEE_categ_mechRec1,WEEE_Cat2,lighting,,,0.58
115,WEEE_mechRec1_mechRec2,,lightingFlash,,,WEEE_categ_mechRec1,WEEE_Cat4a,lightingFlash,,,0.4
116,WEEE_mechRec1_mechRec2,,magnetPermanent,,,WEEE_categ_mechRec1,WEEE_Cat5,magnetPermanent,,,0.48
117,WEEE_mechRec1_mechRec2,,magnetron,,,WEEE_categ_mechRec1,WEEE_Cat4b,magnetron,,,0.33
118,WEEE_mechRec1_mechRec2,,mainboardInclCPUgpu,,,WEEE_categ_mechRec1,WEEE_Cat3,mainboardInclCPUgpu,,,0.58
119,WEEE_mechRec1_mechRec2,,non-electricCoil,,,WEEE_categ_mechRec1,WEEE_Cat1,non-electricCoil,,,0.3
120,WEEE_mechRec1_mechRec2,,nonElectricCoil,,,WEEE_categ_mechRec1,WEEE_Cat6,nonElectricCoil,,,0.56
121,WEEE_mechRec1_mechRec2,,onOffSwitch,,,WEEE_categ_mechRec1,WEEE_Cat2,onOffSwitch,,,0.31
122,WEEE_mechRec1_mechRec2,,otherElectricCompUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat4a,otherElectricCompUnspecified,,,0.09
123,WEEE_mechRec1_mechRec2,,otherNonElectricCompUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat5,otherNonElectricCompUnspecified,,,0.17
124,WEEE_mechRec1_mechRec2,,passiveJunctionBox,,,WEEE_categ_mechRec1,WEEE_Cat4b,passiveJunctionBox,,,0.57
125,WEEE_mechRec1_mechRec2,,plug,,,WEEE_categ_mechRec1,WEEE_Cat3,plug,,,0.3
126,WEEE_mechRec1_mechRec2,,powerSupply,,,WEEE_categ_mechRec1,WEEE_Cat1,powerSupply,,,0.42
127,WEEE_mechRec1_mechRec2,,printedCircuitBoard,,,WEEE_categ_mechRec1,WEEE_Cat6,printedCircuitBoard,,,0.15
128,WEEE_mechRec1_mechRec2,,pump,,,WEEE_categ_mechRec1,WEEE_Cat2,pump,,,0.05
129,WEEE_mechRec1_mechRec2,,refrigerant,,,WEEE_categ_mechRec1,WEEE_Cat4a,refrigerant,,,0.25
130,WEEE_mechRec1_mechRec2,,remoteControl,,,WEEE_categ_mechRec1,WEEE_Cat5,remoteControl,,,0.51
131,WEEE_mechRec1_mechRec2,,resistor,,,WEEE_categ_mechRec1,WEEE_Cat4b,resistor,,,0.25
132,WEEE_mechRec1_mechRec2,,rotor,,,WEEE_categ_mechRec1,WEEE_Cat3,rotor,,,0.3
133,WEEE_mechRec1_mechRec2,,screw,,,WEEE_categ_mechRec1,WEEE_Cat1,screw,,,0.4
134,WEEE_mechRec1_mechRec2,,sensorUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat6,sensorUnspecified,,,0.28
135,WEEE_mechRec1_mechRec2,,shadowComponentWEEE,,,WEEE_categ_mechRec1,WEEE_Cat2,shadowComponentWEEE,,,0.51
136,WEEE_mechRec1_mechRec2,,solenoidValve,,,WEEE_categ_mechRec1,WEEE_Cat4a,solenoidValve,,,0.2
137,WEEE_mechRec1_mechRec2,,speakerEEE2,,,WEEE_categ_mechRec1,WEEE_Cat5,speakerEEE2,,,0.1
138,WEEE_mechRec1_mechRec2,,switch,,,WEEE_categ_mechRec1,WEEE_Cat4b,switch,,,0.25
139,WEEE_mechRec1_mechRec2,,tonerCartridge,,,WEEE_categ_mechRec1,WEEE_Cat3,tonerCartridge,,,0.27
140,WEEE_mechRec1_mechRec2,,transformator,,,WEEE_categ_mechRec1,WEEE_Cat4a,transformator,,,0.58
141,WEEE_mechRec1_mechRec2,,transmission,,,WEEE_categ_mechRec1,WEEE_Cat5,transmission,,,0.34
142,WEEE_mechRec1_mechRec2,,transmitter,,,WEEE_categ_mechRec1,WEEE_Cat4b,transmitter,,,0.19
143,WEEE_mechRec1_mechRec2,,wheel,,,WEEE_categ_mechRec1,WEEE_Cat3,wheel,,,0.17
144,WEEE_2RM_mechRec1Smelter_other,,ComponentShadowWEEE,,,WEEE_categ_mechRec1,WEEE_Cat1,ComponentShadowWEEE,,,0.59
145,WEEE_2RM_mechRec1Smelter_other,,ConductivitySensor,,,WEEE_categ_mechRec1,WEEE_Cat6,ConductivitySensor,,,0.4
146,WEEE_2RM_mechRec1Smelter_other,,LED,,,WEEE_categ_mechRec1,WEEE_Cat2,LED,,,0.09
147,WEEE_2RM_mechRec1Smelter_other,,LidarSensor (&lt;15cm),,,WEEE_categ_mechRec1,WEEE_Cat4a,LidarSensor (&lt;15cm),,,0.23
148,WEEE_2RM_mechRec1Smelter_other,,MagnetSensor,,,WEEE_categ_mechRec1,WEEE_Cat5,MagnetSensor,,,0.26
149,WEEE_2RM_mechRec1Smelter_other,,PCBWEEECat,,,WEEE_categ_mechRec1,WEEE_Cat4b,PCBWEEECat,,,0.33
150,WEEE_2RM_mechRec1Smelter_other,,PCBunspecified,,,WEEE_categ_mechRec1,WEEE_Cat3,PCBunspecified,,,0.2
151,WEEE_2RM_mechRec1Smelter_other,,PVBacksheet,,,WEEE_categ_mechRec1,WEEE_Cat1,PVBacksheet,,,0.22
152,WEEE_2RM_mechRec1Smelter_other,,PVEncapsulationEVA,,,WEEE_categ_mechRec1,WEEE_Cat6,PVEncapsulationEVA,,,0.52
153,WEEE_2RM_mechRec1Smelter_other,,PVFrameAl,,,WEEE_categ_mechRec1,WEEE_Cat2,PVFrameAl,,,0.12
154,WEEE_2RM_mechRec1Smelter_other,,PVSolarGlass,,,WEEE_categ_mechRec1,WEEE_Cat4a,PVSolarGlass,,,0.27
155,WEEE_2RM_mechRec1Smelter_other,,PVcellSi,,,WEEE_categ_mechRec1,WEEE_Cat5,PVcellSi,,,0.35
156,WEEE_2RM_mechRec1Smelter_other,,WEEEEvaporator,,,WEEE_categ_mechRec1,WEEE_Cat4b,WEEEEvaporator,,,0.17
157,WEEE_2RM_mechRec1Smelter_other,,brush,,,WEEE_categ_mechRec1,WEEE_Cat3,brush,,,0.33
158,WEEE_2RM_mechRec1Smelter_other,,cableUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat1,cableUnspecified,,,0.41
159,WEEE_2RM_mechRec1Smelter_other,,cableWOPlug,,,WEEE_categ_mechRec1,WEEE_Cat6,cableWOPlug,,,0.31
160,WEEE_2RM_mechRec1Smelter_other,,cableWPlug,,,WEEE_categ_mechRec1,WEEE_Cat2,cableWPlug,,,0.34
161,WEEE_2RM_mechRec1Smelter_other,,cableWithConnector,,,WEEE_categ_mechRec1,WEEE_Cat4a,cableWithConnector,,,0.55
162,WEEE_2RM_mechRec1Smelter_other,,cables,,,WEEE_categ_mechRec1,WEEE_Cat5,cables,,,0.26
163,WEEE_2RM_mechRec1Smelter_other,,cablewire,,,WEEE_categ_mechRec1,WEEE_Cat4b,cablewire,,,0.19
164,WEEE_2RM_mechRec1Smelter_other,,capElectrolytic,,,WEEE_categ_mechRec1,WEEE_Cat3,capElectrolytic,,,0.16
165,WEEE_2RM_mechRec1Smelter_other,,casingPlasticBased,,,WEEE_categ_mechRec1,WEEE_Cat1,casingPlasticBased,,,0.12
166,WEEE_2RM_mechRec1Smelter_other,,casingSteelBased,,,WEEE_categ_mechRec1,WEEE_Cat6,casingSteelBased,,,0.46
167,WEEE_2RM_mechRec1Smelter_other,,casingUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat2,casingUnspecified,,,0.16
168,WEEE_2RM_mechRec1Smelter_other,,coldCathodeLamp,,,WEEE_categ_mechRec1,WEEE_Cat4a,coldCathodeLamp,,,0.53
169,WEEE_2RM_mechRec1Smelter_other,,compContainHazardSubst,,,WEEE_categ_mechRec1,WEEE_Cat5,compContainHazardSubst,,,0.55
170,WEEE_2RM_mechRec1Smelter_other,,compressor,,,WEEE_categ_mechRec1,WEEE_Cat4b,compressor,,,0.52
171,WEEE_2RM_mechRec1Smelter_other,,condensator,,,WEEE_categ_mechRec1,WEEE_Cat3,condensator,,,0.16
172,WEEE_2RM_mechRec1Smelter_other,,contactor,,,WEEE_categ_mechRec1,WEEE_Cat1,contactor,,,0.59
173,WEEE_2RM_mechRec1Smelter_other,,displayCRT,,,WEEE_categ_mechRec1,WEEE_Cat6,displayCRT,,,0.54
174,WEEE_2RM_mechRec1Smelter_other,,displayLCD,,,WEEE_categ_mechRec1,WEEE_Cat2,displayLCD,,,0.2
175,WEEE_2RM_mechRec1Smelter_other,,displayLCDunder100cm2,,,WEEE_categ_mechRec1,WEEE_Cat4a,displayLCDunder100cm2,,,0.34
176,WEEE_2RM_mechRec1Smelter_other,,displayOther,,,WEEE_categ_mechRec1,WEEE_Cat5,displayOther,,,0.53
177,WEEE_2RM_mechRec1Smelter_other,,displayPlasma,,,WEEE_categ_mechRec1,WEEE_Cat4b,displayPlasma,,,0.43
178,WEEE_2RM_mechRec1Smelter_other,,driveCDDExt,,,WEEE_categ_mechRec1,WEEE_Cat3,driveCDDExt,,,0.05
179,WEEE_2RM_mechRec1Smelter_other,,driveCDDInt,,,WEEE_categ_mechRec1,WEEE_Cat1,driveCDDInt,,,0.24
180,WEEE_2RM_mechRec1Smelter_other,,driveFDD,,,WEEE_categ_mechRec1,WEEE_Cat6,driveFDD,,,0.08
181,WEEE_2RM_mechRec1Smelter_other,,driveHDD,,,WEEE_categ_mechRec1,WEEE_Cat2,driveHDD,,,0.29
182,WEEE_2RM_mechRec1Smelter_other,,driveUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat4a,driveUnspecified,,,0.48
183,WEEE_2RM_mechRec1Smelter_other,,electricEngine,,,WEEE_categ_mechRec1,WEEE_Cat5,electricEngine,,,0.59
184,WEEE_2RM_mechRec1Smelter_other,,filterFoamBased,,,WEEE_categ_mechRec1,WEEE_Cat4b,filterFoamBased,,,0.32
185,WEEE_2RM_mechRec1Smelter_other,,fuse,,,WEEE_categ_mechRec1,WEEE_Cat3,fuse,,,0.59
186,WEEE_2RM_mechRec1Smelter_other,,gear,,,WEEE_categ_mechRec1,WEEE_Cat1,gear,,,0.2
187,WEEE_2RM_mechRec1Smelter_other,,heatingCoolingEEEairCondenser,,,WEEE_categ_mechRec1,WEEE_Cat6,heatingCoolingEEEairCondenser,,,0.2
188,WEEE_2RM_mechRec1Smelter_other,,heatingCoolingEEEfan,,,WEEE_categ_mechRec1,WEEE_Cat2,heatingCoolingEEEfan,,,0.09
189,WEEE_2RM_mechRec1Smelter_other,,heatingCoolingEEEheatSink,,,WEEE_categ_mechRec1,WEEE_Cat4a,heatingCoolingEEEheatSink,,,0.5
190,WEEE_2RM_mechRec1Smelter_other,,inductor,,,WEEE_categ_mechRec1,WEEE_Cat5,inductor,,,0.14
191,WEEE_2RM_mechRec1Smelter_other,,insulation,,,WEEE_categ_mechRec1,WEEE_Cat4b,insulation,,,0.58
192,WEEE_2RM_mechRec1Smelter_other,,keyboard,,,WEEE_categ_mechRec1,WEEE_Cat3,keyboard,,,0.37
193,WEEE_2RM_mechRec1Smelter_other,,knob,,,WEEE_categ_mechRec1,WEEE_Cat1,knob,,,0.06
194,WEEE_2RM_mechRec1Smelter_other,,lenseAssembly,,,WEEE_categ_mechRec1,WEEE_Cat6,lenseAssembly,,,0.44
195,WEEE_2RM_mechRec1Smelter_other,,lighting,,,WEEE_categ_mechRec1,WEEE_Cat2,lighting,,,0.29
196,WEEE_2RM_mechRec1Smelter_other,,lightingFlash,,,WEEE_categ_mechRec1,WEEE_Cat4a,lightingFlash,,,0.09
197,WEEE_2RM_mechRec1Smelter_other,,magnetPermanent,,,WEEE_categ_mechRec1,WEEE_Cat5,magnetPermanent,,,0.44
198,WEEE_2RM_mechRec1Smelter_other,,magnetron,,,WEEE_categ_mechRec1,WEEE_Cat4b,magnetron,,,0.14
199,WEEE_2RM_mechRec1Smelter_other,,mainboardInclCPUgpu,,,WEEE_categ_mechRec1,WEEE_Cat3,mainboardInclCPUgpu,,,0.15
200,WEEE_2RM_mechRec1Smelter_other,,non-electricCoil,,,WEEE_categ_mechRec1,WEEE_Cat1,non-electricCoil,,,0.46
201,WEEE_2RM_mechRec1Smelter_other,,nonElectricCoil,,,WEEE_categ_mechRec1,WEEE_Cat6,nonElectricCoil,,,0.42
202,WEEE_2RM_mechRec1Smelter_other,,onOffSwitch,,,WEEE_categ_mechRec1,WEEE_Cat2,onOffSwitch,,,0.23
203,WEEE_2RM_mechRec1Smelter_other,,otherElectricCompUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat4a,otherElectricCompUnspecified,,,0.44
204,WEEE_2RM_mechRec1Smelter_other,,otherNonElectricCompUnspecified,,,WEEE_categ_mechRec1,WEEE_Cat5,otherNonElectricCompUnspecified,,,0.13
205,WEEE_2RM_mechRec1Smelter_other,,passiveJunctionBox,,,WEEE_categ_mechRec1,WEEE_Cat4b,passiveJunctionBox,,,0.5
206,WEEE_2RM_mechRec1Smelter_other,,plug,,,WEEE_categ_mechRec1,WEEE_Cat3,plug,,,0.52
207,WEEE_2RM_mechRec1Smelter_other,,powerSupply,,,WEEE_categ_mechRec1,WEEE_Cat1,powerSupply,,,0.36
