,outflow,outflow,outflow,outflow,outflow,inflow,inflow,inflow,inflow,inflow,info,info,info,info
13,WEEE_generatedComplementaryExported,WEEE_Cat6,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat6,C*,M*,E*,0.1,1112,,
14,WEEE_generatedComplementaryUndocumented,WEEE_Cat1,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat1,C*,M*,E*,0.49,1112,,
15,WEEE_generatedComplementaryUndocumented,WEEE_Cat2,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat2,C*,M*,E*,0.46,1112,,
16,WEEE_generatedComplementaryUndocumented,WEEE_Cat3,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat3,C*,M*,E*,0.23,1112,,
17,WEEE_generatedComplementaryUndocumented,WEEE_Cat4a,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat4a,C*,M*,E*,0.37,1112,,
18,WEEE_generatedComplementaryUndocumented,WEEE_Cat4b,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat4b,C*,M*,E*,0.25,1112,,
19,WEEE_generatedComplementaryUndocumented,WEEE_Cat5,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat5,C*,M*,E*,0.24,1112,,
20,WEEE_generatedComplementaryUndocumented,WEEE_Cat6,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat6,C*,M*,E*,0.44,1112,,
21,WEEE_generatedComplementaryMSW,WEEE_Cat2,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat2,C*,M*,E*,0.52,1112,,
22,WEEE_generatedComplementaryMSW,WEEE_Cat1,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat1,C*,M*,E*,0.55,1112,,
23,WEEE_generatedComplementaryMSW,WEEE_Cat3,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat3,C*,M*,E*,0.57,1112,,
24,WEEE_generatedComplementaryMSW,WEEE_Cat4a,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat4a,C*,M*,E*,0.37,1112,,
25,WEEE_generatedComplementaryMSW,WEEE_Cat4b,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat4b,C*,M*,E*,0.29,1112,,
26,WEEE_generatedComplementaryMSW,WEEE_Cat5,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat5,C*,M*,E*,0.41,1112,,
27,WEEE_generatedComplementaryMSW,WEEE_Cat6,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat6,C*,M*,E*,0.05,1112,,
28,WEEE_collected,WEEE_Cat1,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat1,C*,M*,E*,0.56,1112,,
29,WEEE_collected,WEEE_Cat2,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat2,C*,M*,E*,0.18,1112,,
30,WEEE_collected,WEEE_Cat3,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat3,C*,M*,E*,0.17,1112,,
31,WEEE_collected,WEEE_Cat4a,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat4a,C*,M*,E*,0.27,1112,,
32,WEEE_collected,WEEE_Cat4b,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat4b,C*,M*,E*,0.37,1112,,
33,WEEE_collected,WEEE_Cat5,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat5,C*,M*,E*,0.11,1112,,
34,WEEE_collected,WEEE_Cat6,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat6,C*,M*,E*,0.32,1112,,
35,WEEE_wasteBinLandfill,WEEE_Cat1,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat1,C*,M*,E*,0.36,1112,,
36,WEEE_wasteBinLandfill,WEEE_Cat2,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat2,C*,M*,E*,0.17,1112,,
37,WEEE_wasteBinLandfill,WEEE_Cat3,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat3,C*,M*,E*,0.29,1112,,
38,WEEE_wasteBinLandfill,WEEE_Cat4a,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat4a,C*,M*,E*,0.29,1112,,
39,WEEE_wasteBinLandfill,WEEE_Cat4b,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat4b,C*,M*,E*,0.21,1112,,
40,WEEE_wasteBinLandfill,WEEE_Cat5,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat5,C*,M*,E*,0.33,1112,,
41,WEEE_wasteBinLandfill,WEEE_Cat6,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat6,C*,M*,E*,0.37,1112,,
42,WEEE_wasteBinIncineration,WEEE_Cat1,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat1,C*,M*,E*,0.15,1112,,
43,WEEE_wasteBinIncineration,WEEE_Cat2,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat2,C*,M*,E*,0.21,1112,,
44,WEEE_wasteBinIncineration,WEEE_Cat3,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat3,C*,M*,E*,0.34,1112,,
45,WEEE_wasteBinIncineration,WEEE_Cat4a,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat4a,C*,M*,E*,0.57,1112,,
46,WEEE_wasteBinIncineration,WEEE_Cat4b,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat4b,C*,M*,E*,0.54,1112,,
47,WEEE_wasteBinIncineration,WEEE_Cat5,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat5,C*,M*,E*,0.34,1112,,
48,WEEE_wasteBinIncineration,WEEE_Cat6,C*,M*,E*,WEEE_generatedComplementaryMSW,WEEE_Cat6,C*,M*,E*,0.4,1112,,
49,WEEE_categ_mechRec1,WEEE_Cat1,C*,M*,E*,WEEE_collected,WEEE_Cat1,C*,M*,E*,0.34,1112,,
50,WEEE_categ_mechRec1,WEEE_Cat6,C*,M*,E*,WEEE_collected,WEEE_Cat6,C*,M*,E*,0.17,1112,,
51,WEEE_categ_mechRec1,WEEE_Cat2,C*,M*,E*,WEEE_collected,WEEE_Cat2,C*,M*,E*,0.54,1112,,
52,WEEE_categ_mechRec1,WEEE_Cat4a,C*,M*,E*,WEEE_collected,WEEE_Cat4a,C*,M*,E*,0.14,1112,,
53,WEEE_categ_mechRec1,WEEE_Cat5,C*,M*,E*,WEEE_collected,WEEE_Cat5,C*,M*,E*,0.14,1112,,
54,WEEE_categ_mechRec1,WEEE_Cat4b,C*,M*,E*,WEEE_collected,WEEE_Cat4b,C*,M*,E*,0.08,1112,,
55,WEEE_categ_mechRec1,WEEE_Cat3,C*,M*,E*,WEEE_collected,WEEE_Cat3,C*,M*,E*,0.4,1112,,
56,WEEE_categ_mechRec2,WEEE_Cat1,C*,M*,E*,WEEE_collected,WEEE_Cat1,C*,M*,E*,0.49,1112,,
57,WEEE_categ_mechRec2,WEEE_Cat6,C*,M*,E*,WEEE_collected,WEEE_Cat6,C*,M*,E*,0.57,1112,,
58,WEEE_categ_mechRec2,WEEE_Cat2,C*,M*,E*,WEEE_collected,WEEE_Cat2,C*,M*,E*,0.09,1112,,
59,WEEE_categ_mechRec2,WEEE_Cat4a,C*,M*,E*,WEEE_collected,WEEE_Cat4a,C*,M*,E*,0.42,1112,,
60,WEEE_categ_mechRec2,WEEE_Cat5,C*,M*,E*,WEEE_collected,WEEE_Cat5,C*,M*,E*,0.4,1112,,
61,WEEE_categ_mechRec2,WEEE_Cat4b,C*,M*,E*,WEEE_collected,WEEE_Cat4b,C*,M*,E*,0.55,1112,,
62,WEEE_categ_mechRec2,WEEE_Cat3,C*,M*,E*,WEEE_collected,WEEE_Cat3,C*,M*,E*,0.27,1112,,
63,WEEE_mechRec1_mechRec2,P*,ComponentShadowWEEE,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,ComponentShadowWEEE,M*,E*,0.48,1122,,
64,WEEE_mechRec1_mechRec2,P*,ConductivitySensor,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,ConductivitySensor,M*,E*,0.32,1122,,
65,WEEE_mechRec1_mechRec2,P*,LED,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,LED,M*,E*,0.27,1122,,
66,WEEE_mechRec1_mechRec2,P*,LidarSensor (&lt;15cm),M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,LidarSensor (&lt;15cm),M*,E*,0.37,1122,,
67,WEEE_mechRec1_mechRec2,P*,MagnetSensor,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,MagnetSensor,M*,E*,0.34,1122,,
68,WEEE_mechRec1_mechRec2,P*,PCBWEEECat,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,PCBWEEECat,M*,E*,0.17,1122,,
69,WEEE_mechRec1_mechRec2,P*,PCBunspecified,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,PCBunspecified,M*,E*,0.59,1122,,
70,WEEE_mechRec1_mechRec2,P*,PVBacksheet,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,PVBacksheet,M*,E*,0.57,1122,,
71,WEEE_mechRec1_mechRec2,P*,PVEncapsulationEVA,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,PVEncapsulationEVA,M*,E*,0.35,1122,,
72,WEEE_mechRec1_mechRec2,P*,PVFrameAl,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,PVFrameAl,M*,E*,0.5,1122,,
73,WEEE_mechRec1_mechRec2,P*,PVSolarGlass,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,PVSolarGlass,M*,E*,0.32,1122,,
74,WEEE_mechRec1_mechRec2,P*,PVcellSi,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,PVcellSi,M*,E*,0.42,1122,,
75,WEEE_mechRec1_mechRec2,P*,WEEEEvaporator,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,WEEEEvaporator,M*,E*,0.15,1122,,
76,WEEE_mechRec1_mechRec2,P*,brush,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,brush,M*,E*,0.45,1122,,
77,WEEE_mechRec1_mechRec2,P*,cableUnspecified,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,cableUnspecified,M*,E*,0.09,1122,,
78,WEEE_mechRec1_mechRec2,P*,cableWOPlug,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,cableWOPlug,M*,E*,0.44,1122,,
79,WEEE_mechRec1_mechRec2,P*,cableWPlug,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,cableWPlug,M*,E*,0.34,1122,,
80,WEEE_mechRec1_mechRec2,P*,cableWithConnector,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,cableWithConnector,M*,E*,0.46,1122,,
81,WEEE_mechRec1_mechRec2,P*,cables,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,cables,M*,E*,0.47,1122,,
82,WEEE_mechRec1_mechRec2,P*,cablewire,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,cablewire,M*,E*,0.07,1122,,
83,WEEE_mechRec1_mechRec2,P*,capElectrolytic,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,capElectrolytic,M*,E*,0.19,1122,,
84,WEEE_mechRec1_mechRec2,P*,casingPlasticBased,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,casingPlasticBased,M*,E*,0.35,1122,,
85,WEEE_mechRec1_mechRec2,P*,casingSteelBased,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,casingSteelBased,M*,E*,0.09,1122,,
86,WEEE_mechRec1_mechRec2,P*,casingUnspecified,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,casingUnspecified,M*,E*,0.11,1122,,
87,WEEE_mechRec1_mechRec2,P*,coldCathodeLamp,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,coldCathodeLamp,M*,E*,0.26,1122,,
88,WEEE_mechRec1_mechRec2,P*,compContainHazardSubst,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,compContainHazardSubst,M*,E*,0.41,1122,,
89,WEEE_mechRec1_mechRec2,P*,compressor,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,compressor,M*,E*,0.46,1122,,
90,WEEE_mechRec1_mechRec2,P*,condensator,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,condensator,M*,E*,0.12,1122,,
91,WEEE_mechRec1_mechRec2,P*,contactor,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,contactor,M*,E*,0.56,1122,,
92,WEEE_mechRec1_mechRec2,P*,displayCRT,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,displayCRT,M*,E*,0.18,1122,,
93,WEEE_mechRec1_mechRec2,P*,displayLCD,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,displayLCD,M*,E*,0.58,1122,,
94,WEEE_mechRec1_mechRec2,P*,displayLCDunder100cm2,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,displayLCDunder100cm2,M*,E*,0.07,1122,,
95,WEEE_mechRec1_mechRec2,P*,displayOther,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,displayOther,M*,E*,0.07,1122,,
96,WEEE_mechRec1_mechRec2,P*,displayPlasma,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,displayPlasma,M*,E*,0.07,1122,,
97,WEEE_mechRec1_mechRec2,P*,driveCDDExt,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,driveCDDExt,M*,E*,0.28,1122,,
98,WEEE_mechRec1_mechRec2,P*,driveCDDInt,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,driveCDDInt,M*,E*,0.54,1122,,
99,WEEE_mechRec1_mechRec2,P*,driveFDD,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,driveFDD,M*,E*,0.36,1122,,
100,WEEE_mechRec1_mechRec2,P*,driveHDD,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,driveHDD,M*,E*,0.28,1122,,
101,WEEE_mechRec1_mechRec2,P*,driveUnspecified,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,driveUnspecified,M*,E*,0.1,1122,,
102,WEEE_mechRec1_mechRec2,P*,electricEngine,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,electricEngine,M*,E*,0.19,1122,,
103,WEEE_mechRec1_mechRec2,P*,filterFoamBased,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,filterFoamBased,M*,E*,0.21,1122,,
104,WEEE_mechRec1_mechRec2,P*,fuse,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,fuse,M*,E*,0.33,1122,,
105,WEEE_mechRec1_mechRec2,P*,gear,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,gear,M*,E*,0.17,1122,,
106,WEEE_mechRec1_mechRec2,P*,heatingCoolingEEEairCondenser,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,heatingCoolingEEEairCondenser,M*,E*,0.18,1122,,
107,WEEE_mechRec1_mechRec2,P*,heatingCoolingEEEfan,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,heatingCoolingEEEfan,M*,E*,0.4,1122,,
108,WEEE_mechRec1_mechRec2,P*,heatingCoolingEEEheatSink,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,heatingCoolingEEEheatSink,M*,E*,0.22,1122,,
109,WEEE_mechRec1_mechRec2,P*,inductor,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,inductor,M*,E*,0.46,1122,,
110,WEEE_mechRec1_mechRec2,P*,insulation,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,insulation,M*,E*,0.3,1122,,
111,WEEE_mechRec1_mechRec2,P*,keyboard,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,keyboard,M*,E*,0.42,1122,,
112,WEEE_mechRec1_mechRec2,P*,knob,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,knob,M*,E*,0.11,1122,,
113,WEEE_mechRec1_mechRec2,P*,lenseAssembly,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,lenseAssembly,M*,E*,0.28,1122,,
114,WEEE_mechRec1_mechRec2,P*,lighting,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,lighting,M*,E*,0.58,1122,,
115,WEEE_mechRec1_mechRec2,P*,lightingFlash,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,lightingFlash,M*,E*,0.4,1122,,
116,WEEE_mechRec1_mechRec2,P*,magnetPermanent,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,magnetPermanent,M*,E*,0.48,1122,,
117,WEEE_mechRec1_mechRec2,P*,magnetron,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,magnetron,M*,E*,0.33,1122,,
118,WEEE_mechRec1_mechRec2,P*,mainboardInclCPUgpu,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,mainboardInclCPUgpu,M*,E*,0.58,1122,,
119,WEEE_mechRec1_mechRec2,P*,non-electricCoil,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,non-electricCoil,M*,E*,0.3,1122,,
120,WEEE_mechRec1_mechRec2,P*,nonElectricCoil,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,nonElectricCoil,M*,E*,0.56,1122,,
121,WEEE_mechRec1_mechRec2,P*,onOffSwitch,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,onOffSwitch,M*,E*,0.31,1122,,
122,WEEE_mechRec1_mechRec2,P*,otherElectricCompUnspecified,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,otherElectricCompUnspecified,M*,E*,0.09,1122,,
123,WEEE_mechRec1_mechRec2,P*,otherNonElectricCompUnspecified,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,otherNonElectricCompUnspecified,M*,E*,0.17,1122,,
124,WEEE_mechRec1_mechRec2,P*,passiveJunctionBox,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,passiveJunctionBox,M*,E*,0.57,1122,,
125,WEEE_mechRec1_mechRec2,P*,plug,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,plug,M*,E*,0.3,1122,,
126,WEEE_mechRec1_mechRec2,P*,powerSupply,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,powerSupply,M*,E*,0.42,1122,,
127,WEEE_mechRec1_mechRec2,P*,printedCircuitBoard,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,printedCircuitBoard,M*,E*,0.15,1122,,
128,WEEE_mechRec1_mechRec2,P*,pump,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,pump,M*,E*,0.05,1122,,
129,WEEE_mechRec1_mechRec2,P*,refrigerant,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,refrigerant,M*,E*,0.25,1122,,
130,WEEE_mechRec1_mechRec2,P*,remoteControl,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,remoteControl,M*,E*,0.51,1122,,
131,WEEE_mechRec1_mechRec2,P*,resistor,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,resistor,M*,E*,0.25,1122,,
132,WEEE_mechRec1_mechRec2,P*,rotor,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,rotor,M*,E*,0.3,1122,,
133,WEEE_mechRec1_mechRec2,P*,screw,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,screw,M*,E*,0.4,1122,,
134,WEEE_mechRec1_mechRec2,P*,sensorUnspecified,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,sensorUnspecified,M*,E*,0.28,1122,,
135,WEEE_mechRec1_mechRec2,P*,shadowComponentWEEE,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,shadowComponentWEEE,M*,E*,0.51,1122,,
136,WEEE_mechRec1_mechRec2,P*,solenoidValve,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,solenoidValve,M*,E*,0.2,1122,,
137,WEEE_mechRec1_mechRec2,P*,speakerEEE2,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,speakerEEE2,M*,E*,0.1,1122,,
138,WEEE_mechRec1_mechRec2,P*,switch,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,switch,M*,E*,0.25,1122,,
139,WEEE_mechRec1_mechRec2,P*,tonerCartridge,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,tonerCartridge,M*,E*,0.27,1122,,
140,WEEE_mechRec1_mechRec2,P*,transformator,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,transformator,M*,E*,0.58,1122,,
141,WEEE_mechRec1_mechRec2,P*,transmission,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,transmission,M*,E*,0.34,1122,,
142,WEEE_mechRec1_mechRec2,P*,transmitter,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,transmitter,M*,E*,0.19,1122,,
143,WEEE_mechRec1_mechRec2,P*,wheel,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,wheel,M*,E*,0.17,1122,,
144,WEEE_2RM_mechRec1Smelter_other,P*,ComponentShadowWEEE,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,ComponentShadowWEEE,M*,E*,0.59,1122,,
145,WEEE_2RM_mechRec1Smelter_other,P*,ConductivitySensor,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,ConductivitySensor,M*,E*,0.4,1122,,
146,WEEE_2RM_mechRec1Smelter_other,P*,LED,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,LED,M*,E*,0.09,1122,,
147,WEEE_2RM_mechRec1Smelter_other,P*,LidarSensor (&lt;15cm),M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,LidarSensor (&lt;15cm),M*,E*,0.23,1122,,
148,WEEE_2RM_mechRec1Smelter_other,P*,MagnetSensor,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,MagnetSensor,M*,E*,0.26,1122,,
149,WEEE_2RM_mechRec1Smelter_other,P*,PCBWEEECat,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,PCBWEEECat,M*,E*,0.33,1122,,
150,WEEE_2RM_mechRec1Smelter_other,P*,PCBunspecified,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,PCBunspecified,M*,E*,0.2,1122,,
151,WEEE_2RM_mechRec1Smelter_other,P*,PVBacksheet,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,PVBacksheet,M*,E*,0.22,1122,,
152,WEEE_2RM_mechRec1Smelter_other,P*,PVEncapsulationEVA,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,PVEncapsulationEVA,M*,E*,0.52,1122,,
153,WEEE_2RM_mechRec1Smelter_other,P*,PVFrameAl,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,PVFrameAl,M*,E*,0.12,1122,,
154,WEEE_2RM_mechRec1Smelter_other,P*,PVSolarGlass,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,PVSolarGlass,M*,E*,0.27,1122,,
155,WEEE_2RM_mechRec1Smelter_other,P*,PVcellSi,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,PVcellSi,M*,E*,0.35,1122,,
156,WEEE_2RM_mechRec1Smelter_other,P*,WEEEEvaporator,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,WEEEEvaporator,M*,E*,0.17,1122,,
157,WEEE_2RM_mechRec1Smelter_other,P*,brush,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,brush,M*,E*,0.33,1122,,
158,WEEE_2RM_mechRec1Smelter_other,P*,cableUnspecified,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,cableUnspecified,M*,E*,0.41,1122,,
159,WEEE_2RM_mechRec1Smelter_other,P*,cableWOPlug,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,cableWOPlug,M*,E*,0.31,1122,,
160,WEEE_2RM_mechRec1Smelter_other,P*,cableWPlug,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,cableWPlug,M*,E*,0.34,1122,,
161,WEEE_2RM_mechRec1Smelter_other,P*,cableWithConnector,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,cableWithConnector,M*,E*,0.55,1122,,
162,WEEE_2RM_mechRec1Smelter_other,P*,cables,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,cables,M*,E*,0.26,1122,,
163,WEEE_2RM_mechRec1Smelter_other,P*,cablewire,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4b,cablewire,M*,E*,0.19,1122,,
164,WEEE_2RM_mechRec1Smelter_other,P*,capElectrolytic,M*,E*,WEEE_categ_mechRec1,WEEE_Cat3,capElectrolytic,M*,E*,0.16,1122,,
165,WEEE_2RM_mechRec1Smelter_other,P*,casingPlasticBased,M*,E*,WEEE_categ_mechRec1,WEEE_Cat1,casingPlasticBased,M*,E*,0.12,1122,,
166,WEEE_2RM_mechRec1Smelter_other,P*,casingSteelBased,M*,E*,WEEE_categ_mechRec1,WEEE_Cat6,casingSteelBased,M*,E*,0.46,1122,,
167,WEEE_2RM_mechRec1Smelter_other,P*,casingUnspecified,M*,E*,WEEE_categ_mechRec1,WEEE_Cat2,casingUnspecified,M*,E*,0.16,1122,,
168,WEEE_2RM_mechRec1Smelter_other,P*,coldCathodeLamp,M*,E*,WEEE_categ_mechRec1,WEEE_Cat4a,coldCathodeLamp,M*,E*,0.53,1122,,
169,WEEE_2RM_mechRec1Smelter_other,P*,compContainHazardSubst,M*,E*,WEEE_categ_mechRec1,WEEE_Cat5,compContainHazardSubst,M*,E*,0.55,1122,,
