Year,Level 1,Level 2,Level 3,Share
2020,WEEE_Cat_4a,PCBUnspecified,Al,0.018249
2020,WEEE_Cat_4a,PCBUnspecified,Cu,0.011942
2020,WEEE_Cat_4a,PCBUnspecified,,0.011366
2020,WEEE_Cat_4a,AgAlloyUnspecified,Cu,0.1
2020,WEEE_Cat_4a,AgAlloyUnspecified,,0.000001
2020,WEEE_Cat_4a,AlloyZincUnspecified,Al,0.04
2020,WEEE_Cat_4a,AlloyZincUnspecified,,0.000681
2020,WEEE_Cat_4a,AluminiumAlloyUnspecified,Al,0.9699
2020,WEEE_Cat_4a,AluminiumAlloyUnspecified,,0.024056
2020,WEEE_Cat_4a,Brass,Cu,0.75
2020,WEEE_Cat_4a,Brass,,0.003783
2020,WEEE_Cat_4a,Bronze,Cu,0.88
2020,WEEE_Cat_4a,Bronze,,0.000221
2020,WEEE_Cat_4a,CopperAlloyUnspecified,Cu,1
2020,WEEE_Cat_4a,CopperAlloyUnspecified,,0.012494
2020,WEEE_Cat_4a,NiAlloyUnspecified,Cu,0.002
2020,WEEE_Cat_4a,NiAlloyUnspecified,,0.000412
2020,WEEE_Cat_4b,Cables,Al,0.0357
2020,WEEE_Cat_4b,Cables,Cu,0.17235
2020,WEEE_Cat_4b,Cables,,0.002811
2020,WEEE_Cat_4b,PCBUnspecified,Al,0.039989
2020,WEEE_Cat_4b,PCBUnspecified,Cu,0.034064
2020,WEEE_Cat_4b,PCBUnspecified,,0.002466
2020,WEEE_Cat_4b,AgAlloyUnspecified,Cu,0.1
2020,WEEE_Cat_4b,AgAlloyUnspecified,,0.000014
2020,WEEE_Cat_4b,AlloyZincUnspecified,Al,0.04
2020,WEEE_Cat_4b,AlloyZincUnspecified,,0.00041
2020,WEEE_Cat_4b,AluminiumAlloyUnspecified,Al,0.9699
2020,WEEE_Cat_4b,AluminiumAlloyUnspecified,,0.111061
2020,WEEE_Cat_4b,Brass,Cu,0.75
2020,WEEE_Cat_4b,Brass,,0.000601
2020,WEEE_Cat_4b,Bronze,Cu,0.88
2020,WEEE_Cat_4b,Bronze,,0.000006
2020,WEEE_Cat_4b,CopperAlloyUnspecified,Cu,1
2020,WEEE_Cat_4b,CopperAlloyUnspecified,,0.003665
2020,WEEE_Cat_4b,NiAlloyUnspecified,Cu,0.002
2020,WEEE_Cat_4b,NiAlloyUnspecified,,0.000001
2020,WEEE_Cat_5,Cables,Al,0.0357
2020,WEEE_Cat_5,Cables,Cu,0.173216
2020,WEEE_Cat_5,Cables,,0.085594
2020,WEEE_Cat_5,PCBUnspecified,Al,0.137677
2020,WEEE_Cat_5,PCBUnspecified,Cu,0.061451
2020,WEEE_Cat_5,PCBUnspecified,,0.035475
2020,WEEE_Cat_5,AgAlloyUnspecified,Cu,0.1
2020,WEEE_Cat_5,AgAlloyUnspecified,,0
2020,WEEE_Cat_5,AlloyZincUnspecified,Al,0.04
2020,WEEE_Cat_5,AlloyZincUnspecified,,0.003371
2020,WEEE_Cat_5,AluminiumAlloyUnspecified,Al,0.9699
2020,WEEE_Cat_5,AluminiumAlloyUnspecified,,0.07555
2020,WEEE_Cat_5,Brass,Cu,0.75
2020,WEEE_Cat_5,Brass,,0.005228
2020,WEEE_Cat_5,Bronze,Cu,0.88
2020,WEEE_Cat_5,Bronze,,0.006172
2020,WEEE_Cat_5,CopperAlloyUnspecified,Cu,1
2020,WEEE_Cat_5,CopperAlloyUnspecified,,0.025469
2020,WEEE_Cat_5,NiAlloyUnspecified,Cu,0.002
2020,WEEE_Cat_5,NiAlloyUnspecified,,0.00044
2020,WEEE_Cat_6,Cables,Al,0.0357
2020,WEEE_Cat_6,Cables,Cu,0.17235
2020,WEEE_Cat_6,Cables,,0.050885
2020,WEEE_Cat_6,PCBUnspecified,Al,0.065078
2020,WEEE_Cat_6,PCBUnspecified,Cu,0.063393
2020,WEEE_Cat_6,PCBUnspecified,,0.165807
2020,WEEE_Cat_6,AgAlloyUnspecified,Cu,0.1
2020,WEEE_Cat_6,AgAlloyUnspecified,,0.000001
2020,WEEE_Cat_6,AlloyZincUnspecified,Al,0.04
2020,WEEE_Cat_6,AlloyZincUnspecified,,0.000693
2020,WEEE_Cat_6,AluminiumAlloyUnspecified,Al,0.9699
2020,WEEE_Cat_6,AluminiumAlloyUnspecified,,0.015994
2020,WEEE_Cat_6,Brass,Cu,0.75
2020,WEEE_Cat_6,Brass,,0.000981
2020,WEEE_Cat_6,Bronze,Cu,0.88
2020,WEEE_Cat_6,Bronze,,0.000656
2020,WEEE_Cat_6,CopperAlloyUnspecified,Cu,1
2020,WEEE_Cat_6,CopperAlloyUnspecified,,0.003401
2020,WEEE_Cat_6,NiAlloyUnspecified,Cu,0.002
2020,WEEE_Cat_6,NiAlloyUnspecified,,0.000604
