level 0,level 1,level 2,level 3,level 4,description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyAutomation9SMnPb(1.0718),"Steel alloy, automation, 9SMnPb (1.0718)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyCastGS-10Ni6,"Steel alloy, cast, GS-10Ni6",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyCastGS-22Mo4,"Steel alloy, cast, GS-22Mo4",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyCastGS-25CrMo4,"Steel alloy, cast, GS-25CrMo4",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyCastGS-45.3,"Steel alloy, cast, GS-45.3",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyCastGS-70,"Steel alloy, cast, GS-70",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyCastGS-X40CrNiSi2512,"Steel alloy, cast, GS-X40CrNiSi 25 12",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyDrawA517a,"Steel alloy, draw, A517a",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyDrawA517b,"Steel alloy, draw, A517b",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyDrawS355J2G1W,"Steel alloy, draw, S355J2G1W",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyDrawSt14,"Steel alloy, draw, St14",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyFe360,"Steel alloy, Fe360",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyFe470,"Steel alloy, Fe470",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyFe520,"Steel alloy, Fe520",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyHighTemp13CrMo45(1.7335),"Steel alloy, high temp., 13CrMo4 5 (1.7335)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyHighTemp21MoV53,"Steel alloy, high temp., 21MoV53",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyHighTemp22Mo4,"Steel alloy, high temp., 22Mo4",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyHighTemp28NiCrMo4,"Steel alloy, high temp., 28NiCrMo4",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloylowTemp.A514(A),"Steel alloy, low temp., A514(A)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloylowTemp15NiMn6(1.6228),"Steel alloy, low temp., 15NiMn6 (1.6228)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloylowTempASt35(1.0346),"Steel alloy, low temp., ASt35 (1.0346)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloylowTempX12CrNi189,"Steel alloy, low temp., X12CrNi 18 9",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloylowTempX12Ni5(1.5680),"Steel alloy, low temp., X12Ni5 (1.5680)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloylowTempX8Ni9,"Steel alloy, low temp., X8Ni9",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyspring38Si6,"Steel alloy, spring, 38Si6",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyspring50CrV4,"Steel alloy, spring, 50CrV4",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyspring55Si7,"Steel alloy, spring, 55Si7",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyspring67SiCr5,"Steel alloy, spring, 67SiCr5",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloySt13,"Steel alloy, St13",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelRolled,"Steel, low-alloyed, hot rolled",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelSpring,"Steel, spring, unspecified",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,carbonSteel,steelDraw,"Steel, draw, unspecified",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,galvanizedSteel,steelSheetGalvanized,Steel sheet galvanized,,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,stainlessSteel660,"Steel, stainless, 660",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade14NiCr14,"Steel alloy, high grade, 14NiCr14",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade15Cr3,"Steel alloy, high grade, 15Cr3",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade18NiCr8,"Steel alloy, high grade, 18NiCr8",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade25CrMo4,"Steel alloy, high grade, 25CrMo4",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade30CrNiMo8,"Steel alloy, high grade, 30CrNiMo8",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade34Cr4,"Steel alloy, high grade, 34Cr4",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade34CrAl6,"Steel alloy, high grade, 34CrAl6",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade35NiCr18,"Steel alloy, high grade, 35NiCr18",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade36NiCr6,"Steel alloy, high grade, 36NiCr6",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade37MnSi5,"Steel alloy, high grade, 37MnSi5",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade42CrMo4,"Steel alloy, high grade, 42CrMo4",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGrade50CrV4,"Steel alloy, high grade, 50CrV4",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGradeC15,"Steel alloy, high grade, C15",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGradeC35,"Steel alloy, high grade, C35",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGradeC45,"Steel alloy, high grade, C45",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGradeC55,"Steel alloy, high grade, C55",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelAlloyHighGradeC60,"Steel alloy, high grade, C60",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelCastHA,"Steel, cast, HA",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelCastHT,"Steel, cast, HT",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelChromium,Chromium steel,,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelChromium188,Chromium steel 18/8,,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelChromium188Rolled,"Chromium steel 18/8, hot rolled",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelGrade,"Steel, high grade, unspecified",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,stainlessSteel17-7PH,"Steel, stainless, 17-7 PH",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,stainlessSteel302,"Steel, stainless, 302",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,stainlessSteel316,"Steel, stainless, 316",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,stainlessSteel330,"Steel, stainless, 330",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,stainlessSteel405,"Steel, stainless, 405",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,stainlessSteel434,"Steel, stainless, 434",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelFerrite,Ferrite,,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessGX12Cr14(CA15),"Steel, stainless, GX12Cr14 (CA15)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessGX5CrNi1910(CF8),"Steel, stainless, GX5CrNi19 10 (CF8)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessRolled,"Steel, stainless, hot rolled",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX10Cr13(mart410),"Steel, stainless, X10Cr13 (mart 410)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX10CrNiMoNb,"Steel, stainless, X10CrNiMoNb",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX10CrNiS(303),"Steel, stainless, X10CrNiS (303)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX12Cr13(416),"Steel, stainless, X12Cr13 (416)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX12CrNi177(301),"Steel, stainless, X12CrNi17 7 (301)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX20Cr13(420),"Steel, stainless, X20Cr13 (420)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX22CrNi17(431),"Steel, stainless, X22CrNi17 (431)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX2CrNiMo1712(316L),"Steel, stainless, X2CrNiMo1712 (316L)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX30Cr13(420),"Steel, stainless, X30Cr13 (~420)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX35CrMo17,"Steel, stainless, X35CrMo17",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX5CrNi18(304),"Steel, stainless, X5CrNi18 (304)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX5CrNiMo18(316),"Steel, stainless, X5CrNiMo18 (316)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX6Cr17(430),"Steel, stainless, X6Cr17 (430)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX6CrNi18(~304),"Steel, stainless, X6CrNi18 (~304)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX7CrAl13(405),"Steel, stainless, X7CrAl13 (405)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX90CrCoMoV17,"Steel, stainless, X90CrCoMoV17",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,stainlessSteel,steelStainlessX90CrMoV18(440B),"Steel, stainless, X90CrMoV18 (440B)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,toolSteel,,,,,,,,,,,,,,,,,,,,,,
minerals,aggregates,naturalAggregates,,,,,,,,,,,,,,,,,,,,,,,
minerals,aggregates,syntheticAggregates,,,,,,,,,,,,,,,,,,,,,,,
minerals,bricksUndefined,AACblocks,,,,,,,,,,,,,,,,,,,,,,,
minerals,bricksUndefined,clinker,,,,,,,,,,,,,,,,,,,,,,,
minerals,bricksUndefined,concreteBlocks,,,,,,,,,,,,,,,,,,,,,,,
minerals,bricksUndefined,firedClayBricks,,,,,,,,,,,,,,,,,,,,,,,
minerals,bricksUndefined,lightConcreteBlocks,,,,,,,,,,,,,,,,,,,,,,,
minerals,bricksUndefined,lime-sandBricks,,,,,,,,,,,,,,,,,,,,,,,
minerals,bricksUndefined,mudClayBricks,,,,,,,,,,,,,,,,,,,,,,,
minerals,cement,blastfurnaceCement,,,,,,,,,,,,,,,,,,,,,,,
minerals,cement,compositeCement,,,,,,,,,,,,,,,,,,,,,,,
minerals,cement,portlandCement,,,,,,,,,,,,,,,,,,,,,,,
minerals,cement,portland-compositeCement,,,,,,,,,,,,,,,,,,,,,,,
minerals,cement,puzzolanicCement,,,,,,,,,,,,,,,,,,,,,,,
minerals,clay,,,,,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,clayCeramics,earthenware,,,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,clayCeramics,porcelain,,,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,clayCeramics,stoneware,,,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,glass,aluminosilicateGlass,,,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,glass,borosilicateGlass,lampGlass,lamp Glass,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,glass,glassFiberUndefined,CGlassFiberGeneric,C-Glass Fiber Generic,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,glass,glassFiberUndefined,EGlassFiberGeneric,E-Glass Fiber Generic,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,glass,leadGlass,,,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,glass,quartzGlass,,,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,glass,sodaLimeGlass,flatGlass,flat Glass,,,,,,,,,,,,,,,,,,,,
minerals,glassAndCeramics,glassCeramics,,,,,,,,,,,,,,,,,,,,,,,
minerals,gypsum,naturalGypsum,,,,,,,,,,,,,,,,,,,,,,,
minerals,gypsum,syntheticGypsum,,,,,,,,,,,,,,,,,,,,,,,
minerals,naturalStone,,,,,,,,,,,,,,,,,,,,,,,,
minerals,otherMinerals,artificialMineralFibre,,,Artificial mineral fibre,,,,,,,,,,,,,,,,,,,,
minerals,otherMinerals,asbestos,,,asbestos 'fibres' dismantled/separated,,,,,,,,,,,,,,,,,,,,
minerals,otherMinerals,mineralWool,,,Mineral wool (rock wool),,,,,,,,,,,,,,,,,,,,
minerals,otherMinerals,siliconCarbideSintered,,,Silicon Carbide Sintered,,,,,,,,,,,,,,,,,,,,
minerals,otherMinerals,siliconCarbideSublimed,,,Silicon Carbide Sublimed,,,,,,,,,,,,,,,,,,,,
minerals,otherOrganics,corkSlabInsulation,,,Cork slab insulation,,,,,,,,,,,,,,,,,,,,
minerals,otherOrganics,woolUnspecified,,,Unspecified wool,,,,,,,,,,,,,,,,,,,,
minerals,sand,,,,,,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AgAndAgAlloys,925Ag3,,,,Ag,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AgAndAgAlloys,999Ag3,,,,Ag,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AgAndAgAlloys,AgCuAlloys,,,,Ag,Cu,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AgAndAgAlloys,AgNiAlloys,,,,Ag,Ni,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,1xx.xAlAlloy,,see level 3,,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,2xx.xAlAlloy,AlAlloy204,"Al alloy, AlCu4TiMg (204)",Al,Cu,Ti,Mg,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,2xx.xAlAlloy,AlAlloy230,"Al alloy, AlSi12 (230)",Al,Si,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,2xx.xAlAlloy,AlAlloy231,"Al alloy, AlSi12Cu (231)",Al,Si,Cu,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,2xx.xAlAlloy,AlAlloy242,"Al alloy, AlMg3 (242)",Al,Mg,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,3xx.xAlAlloy,AlAlloy314,"Al alloy, AlMg5 (314)",Al,Mg,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,3xx.xAlAlloy,AlAlloy380,"Al alloy, AlSi8Cu3 (380)",Al,Si,Cu,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,4xx.xAlAlloy,,see level 3,,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,5xx.xAlAlloy,,see level 3,,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,6xx.xAlAlloy,,see level 3,,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,7xx.xAlAlloy,,see level 3,,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,8xx.xAlAlloy,,see level 3,,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,castAlAlloys,9xx.xAlAlloy,,,,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,pureAl,aluminium99Percent,,Aluminium 99%,,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,1xxxAlAlloy,AlAlloy1100,Al alloy (1100),Al,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,2xxxAlAlloy,AlAlloy2011,"Al alloy, AlCuMgPb (2011)",Al,Cu,Mg,Pb,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,2xxxAlAlloy,AlAlloy2017,"Al alloy, AlCuMg1 (2017)",Al,Cu,Mg,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,2xxxAlAlloy,AlAlloy2024,"Al alloy, AlCuMg2 (2024)",Al,Cu,Mg,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,2xxxAlAlloy,AlAlloy2036,"Al alloy, AlCuSiMg (2036)",Al,Cu,Si,Mg,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,2xxxAlAlloy,AlAlloyThixo,"Al alloy, AlSi7Mg (Thixo)",Al,Si,Mg,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,3xxxAlAlloy,AlAlloy3003,"Al alloy, AlMn1 (3003)",Al,Mn,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,3xxxAlAlloy,AlAlloy3004,"Al alloy, AlMn1.2Mg1 (3004)",Al,Mn,Mg,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,4xxxAlAlloy,,see level 3,,,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,5xxxAlAlloy,AlAlloy5005,"Al alloy, AlMg1 (5005)",Al,Mg,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,5xxxAlAlloy,AlAlloy5182,"Al alloy, AlMg4.5Mn (5182)",Al,Mg,Mn,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,5xxxAlAlloy,AlAlloy5754a,"Al alloy, AlMg3 (5754a)",Al,Mg,,,,,,,,,,,,,,,,,,
non-ferrousMetals,AlAndAlAlloys,wroughtAlAlloys,6xxxAlAlloy,AlAlloy6005,"Al alloy, AlMgSi0.7 (6005)",Al,Mg,Si,O,,,,,,,,,,,,,,,,
