process_from,process_to,composition,name_origin,uuid_origin,description_origin,tags_origin,WS_origin,transformation_level_origin,consumption_energy_origin,consumption_water_origin,cost_operation_origin,name_destination,uuid_destination,description_destination,tags_destination,WS_destination,transformation_level_destination,consumption_energy_destination,consumption_water_destination,cost_operation_destination,transfer_coefficient,low_transfer_coefficient,high_transfer_coefficient,Technology_Used,Reason_for_Technology_Selection,TLR,Scientific_References,Remarks
shredding_elec,market_waste_plastic,ALL_plastic,shredding_elec,ELV_sh_e,shredding of electrical components,shredding,ELV,material,4.0,3.0,1.2,market_waste_plastic,mkt_w_pla,market for waste plastic,market,,market,1.0,2.0,-1.0,0.5,0.45,0.55,,,,,
shredding_elec,smelter_nonferrous,ELV_ICE_nfe,shredding_elec,ELV_sh_e,shredding of electrical components,shredding,ELV,material,4.0,3.0,1.2,smelter_nonferrous,ELV_sm_nf,smelting of nonferrous fractions,smelter,ELV,element,45.0,42.0,18.9,0.5,0.45,0.55,,,,,
shredding_engtrans,market_waste,ELV_ICE_waste_shredder,shredding_engtrans,ELV_sh_et,shredding of car engine and transmission,shredding,ELV,material,10.0,4.0,4.0,market_waste,mkt_w_gen,market for waste (general),market,,market,1.0,2.0,10.0,0.25,0.225,0.275,,,,,
shredding_engtrans,market_waste_glass,ALL_glass,shredding_engtrans,ELV_sh_et,shredding of car engine and transmission,shredding,ELV,material,10.0,4.0,4.0,market_waste_glass,mkt_w_gls,market for waste glass,market,,market,1.0,2.0,-2.0,0.25,0.225,0.275,,,,,
shredding_engtrans,smelter_ferrous,ELV_ICE_fe,shredding_engtrans,ELV_sh_et,shredding of car engine and transmission,shredding,ELV,material,10.0,4.0,4.0,smelter_ferrous,ELV_sm_f,smelting of ferrous fractions,smelter,ELV,element,60.0,33.0,19.8,0.25,0.225,0.275,,,,,
shredding_engtrans,smelter_nonferrous,ELV_ICE_nfe,shredding_engtrans,ELV_sh_et,shredding of car engine and transmission,shredding,ELV,material,10.0,4.0,4.0,smelter_nonferrous,ELV_sm_nf,smelting of nonferrous fractions,smelter,ELV,element,45.0,42.0,18.9,0.25,0.225,0.275,,,,,
shredding_tyre,market_waste_rubber,ALL_rubber,shredding_tyre,ELV_sh_t,shredding of tyres,shredding,ELV,material,2.0,6.0,1.2,market_waste_rubber,mkt_w_rub,market for waste rubber,market,,market,1.0,2.0,-5.0,0.5,0.45,0.55,,,,,
shredding_tyre,smelter_ferrous,ELV_ICE_fe,shredding_tyre,ELV_sh_t,shredding of tyres,shredding,ELV,material,2.0,6.0,1.2,smelter_ferrous,ELV_sm_f,smelting of ferrous fractions,smelter,ELV,element,60.0,33.0,19.8,0.5,0.45,0.55,,,,,
smelter_cc,market_ree,ELV_ICE_ree,smelter_cc,ELV_sh_cc,smelting of catalytic converters,smelter,ELV,element,50.0,20.0,10.0,market_ree,mkt_w_ree,market for waste REE mix,market,,market,1.0,2.0,-2000.0,0.5,0.45,0.55,,,,,
smelter_cc,market_waste_slag,ALL_slag_ree,smelter_cc,ELV_sh_cc,smelting of catalytic converters,smelter,ELV,element,50.0,20.0,10.0,market_waste_slag,mkt_w_slag,market for waste slag,market,,market,1.0,2.0,-10.0,0.5,0.45,0.55,,,,,
smelter_ferrous,market_ferrous,ELV_ICE_fe,smelter_ferrous,ELV_sm_f,smelting of ferrous fractions,smelter,ELV,element,60.0,33.0,19.8,market_ferrous,mkt_w_fe,market for waste ferrous,market,,market,1.0,2.0,-4.0,0.5,0.45,0.55,,,,,
smelter_ferrous,market_waste_slag,ELV_ICE_slag_fe,smelter_ferrous,ELV_sm_f,smelting of ferrous fractions,smelter,ELV,element,60.0,33.0,19.8,market_waste_slag,mkt_w_slag,market for waste slag,market,,market,1.0,2.0,-10.0,0.5,0.45,0.55,,,,,
smelter_nonferrous,market_nonferrous,ELV_ICE_nfe,smelter_nonferrous,ELV_sm_nf,smelting of nonferrous fractions,smelter,ELV,element,45.0,42.0,18.9,market_nonferrous,mkt_w_nfe,market for waste non-ferrous,market,,market,1.0,2.0,-5.0,0.5,0.45,0.55,,,,,
smelter_nonferrous,market_waste_slag,ELV_ICE_slag_nfe,smelter_nonferrous,ELV_sm_nf,smelting of nonferrous fractions,smelter,ELV,element,45.0,42.0,18.9,market_waste_slag,mkt_w_slag,market for waste slag,market,,market,1.0,2.0,-10.0,0.5,0.45,0.55,,,,,
