input_flow,input_layer,input_layer_key,input_sub_layer,input_sub_layer_key,output_flow,output_layer,output_target_key,process,technology,value
WEEE_collected,product,WEEE_Cat3,,,WEEE_categ_mechRec1,product,WEEE_Cat3,categorizing,,
WEEE_collected,product,WEEE_Cat1,,,WEEE_categ_mechRec2,product,WEEE_Cat1,categorizing,,
WEEE_collected,product,WEEE_Cat6,,,WEEE_categ_mechRec2,product,WEEE_Cat6,categorizing,,
WEEE_collected,product,WEEE_Cat2,,,WEEE_categ_mechRec2,product,WEEE_Cat2,categorizing,,
WEEE_collected,product,WEEE_Cat4a,,,WEEE_categ_mechRec2,product,WEEE_Cat4a,categorizing,,
WEEE_collected,product,WEEE_Cat5,,,WEEE_categ_mechRec2,product,WEEE_Cat5,categorizing,,
WEEE_collected,product,WEEE_Cat4b,,,WEEE_categ_mechRec2,product,WEEE_Cat4b,categorizing,,
WEEE_collected,product,WEEE_Cat3,,,WEEE_categ_mechRec2,product,WEEE_Cat3,categorizing,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,ComponentShadowWEEE,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,ConductivitySensor,dismantling,,0.2
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,LED,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,LidarSensor (&lt;15cm),dismantling,,0.5
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,MagnetSensor,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,PCBWEEECat,dismantling,,0.5
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,PCBunspecified,dismantling,,0.3
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,PVBacksheet,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,PVEncapsulationEVA,dismantling,,0.2
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,PVFrameAl,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,PVSolarGlass,dismantling,,0.5
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,PVcellSi,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,WEEEEvaporator,dismantling,,0.5
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,brush,dismantling,,0.3
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,cableUnspecified,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,cableWOPlug,dismantling,,0.2
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,cableWPlug,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,cableWithConnector,dismantling,,0.5
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,cables,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,cablewire,dismantling,,0.5
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,capElectrolytic,dismantling,,0.3
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,casingPlasticBased,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,casingSteelBased,dismantling,,0.2
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,casingUnspecified,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,coldCathodeLamp,dismantling,,0.5
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,compContainHazardSubst,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,compressor,dismantling,,0.5
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,condensator,dismantling,,0.3
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,contactor,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,displayCRT,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,displayLCD,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,displayLCDunder100cm2,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,displayOther,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,displayPlasma,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,driveCDDExt,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,driveCDDInt,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,driveFDD,dismantling,,1
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,driveHDD,dismantling,,1
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,driveUnspecified,dismantling,,1
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,electricEngine,dismantling,,1
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,filterFoamBased,dismantling,,1
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,fuse,dismantling,,1
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,gear,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,heatingCoolingEEEairCondenser,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,heatingCoolingEEEfan,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,heatingCoolingEEEheatSink,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,inductor,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,insulation,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,keyboard,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,knob,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,lenseAssembly,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,lighting,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,lightingFlash,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,magnetPermanent,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,magnetron,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,mainboardInclCPUgpu,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,non-electricCoil,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,nonElectricCoil,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,onOffSwitch,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,otherElectricCompUnspecified,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,otherNonElectricCompUnspecified,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,passiveJunctionBox,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,plug,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,powerSupply,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,printedCircuitBoard,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,pump,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,refrigerant,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,remoteControl,dismantling,,0.5
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,resistor,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,rotor,dismantling,,0.8
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_mechRec1_mechRec2,component,screw,dismantling,,0.85
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_mechRec1_mechRec2,component,sensorUnspecified,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_mechRec1_mechRec2,component,shadowComponentWEEE,dismantling,,0.9
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,solenoidValve,dismantling,,0.01
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,speakerEEE2,dismantling,,0.5
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,switch,dismantling,,0.95
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,tonerCartridge,dismantling,,0.2
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_mechRec1_mechRec2,component,transformator,dismantling,,0.15
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_mechRec1_mechRec2,component,transmission,dismantling,,0.05
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_mechRec1_mechRec2,component,transmitter,dismantling,,0.1
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_mechRec1_mechRec2,component,wheel,dismantling,,0.99
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_2RM_mechRec1Smelter_other,component,ComponentShadowWEEE,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_2RM_mechRec1Smelter_other,component,ConductivitySensor,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_2RM_mechRec1Smelter_other,component,LED,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_2RM_mechRec1Smelter_other,component,LidarSensor (&lt;15cm),dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_2RM_mechRec1Smelter_other,component,MagnetSensor,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_2RM_mechRec1Smelter_other,component,PCBWEEECat,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_2RM_mechRec1Smelter_other,component,PCBunspecified,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_2RM_mechRec1Smelter_other,component,PVBacksheet,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_2RM_mechRec1Smelter_other,component,PVEncapsulationEVA,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_2RM_mechRec1Smelter_other,component,PVFrameAl,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_2RM_mechRec1Smelter_other,component,PVSolarGlass,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_2RM_mechRec1Smelter_other,component,PVcellSi,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_2RM_mechRec1Smelter_other,component,WEEEEvaporator,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_2RM_mechRec1Smelter_other,component,brush,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_2RM_mechRec1Smelter_other,component,cableUnspecified,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_2RM_mechRec1Smelter_other,component,cableWOPlug,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_2RM_mechRec1Smelter_other,component,cableWPlug,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_2RM_mechRec1Smelter_other,component,cableWithConnector,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_2RM_mechRec1Smelter_other,component,cables,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_2RM_mechRec1Smelter_other,component,cablewire,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_2RM_mechRec1Smelter_other,component,capElectrolytic,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_2RM_mechRec1Smelter_other,component,casingPlasticBased,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_2RM_mechRec1Smelter_other,component,casingSteelBased,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_2RM_mechRec1Smelter_other,component,casingUnspecified,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_2RM_mechRec1Smelter_other,component,coldCathodeLamp,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_2RM_mechRec1Smelter_other,component,compContainHazardSubst,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_2RM_mechRec1Smelter_other,component,compressor,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_2RM_mechRec1Smelter_other,component,condensator,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_2RM_mechRec1Smelter_other,component,contactor,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_2RM_mechRec1Smelter_other,component,displayCRT,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_2RM_mechRec1Smelter_other,component,displayLCD,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_2RM_mechRec1Smelter_other,component,displayLCDunder100cm2,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_2RM_mechRec1Smelter_other,component,displayOther,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_2RM_mechRec1Smelter_other,component,displayPlasma,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_2RM_mechRec1Smelter_other,component,driveCDDExt,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_2RM_mechRec1Smelter_other,component,driveCDDInt,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_2RM_mechRec1Smelter_other,component,driveFDD,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_2RM_mechRec1Smelter_other,component,driveHDD,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_2RM_mechRec1Smelter_other,component,driveUnspecified,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_2RM_mechRec1Smelter_other,component,electricEngine,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_2RM_mechRec1Smelter_other,component,filterFoamBased,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_2RM_mechRec1Smelter_other,component,fuse,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_2RM_mechRec1Smelter_other,component,gear,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_2RM_mechRec1Smelter_other,component,heatingCoolingEEEairCondenser,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_2RM_mechRec1Smelter_other,component,heatingCoolingEEEfan,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_2RM_mechRec1Smelter_other,component,heatingCoolingEEEheatSink,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_2RM_mechRec1Smelter_other,component,inductor,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_2RM_mechRec1Smelter_other,component,insulation,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_2RM_mechRec1Smelter_other,component,keyboard,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_2RM_mechRec1Smelter_other,component,knob,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_2RM_mechRec1Smelter_other,component,lenseAssembly,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_2RM_mechRec1Smelter_other,component,lighting,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_2RM_mechRec1Smelter_other,component,lightingFlash,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_2RM_mechRec1Smelter_other,component,magnetPermanent,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_2RM_mechRec1Smelter_other,component,magnetron,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_2RM_mechRec1Smelter_other,component,mainboardInclCPUgpu,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_2RM_mechRec1Smelter_other,component,non-electricCoil,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_2RM_mechRec1Smelter_other,component,nonElectricCoil,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_2RM_mechRec1Smelter_other,component,onOffSwitch,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4a,,,WEEE_2RM_mechRec1Smelter_other,component,otherElectricCompUnspecified,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat5,,,WEEE_2RM_mechRec1Smelter_other,component,otherNonElectricCompUnspecified,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat4b,,,WEEE_2RM_mechRec1Smelter_other,component,passiveJunctionBox,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat3,,,WEEE_2RM_mechRec1Smelter_other,component,plug,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat1,,,WEEE_2RM_mechRec1Smelter_other,component,powerSupply,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat6,,,WEEE_2RM_mechRec1Smelter_other,component,printedCircuitBoard,dismantling,,
WEEE_categ_mechRec1,product,WEEE_Cat2,,,WEEE_2RM_mechRec1Smelter_other,component,pump,dismantling,,
