scenario,year,region,flow,product,component,material,element,parameterCode,data,unit,DQS
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Ag,e-m,0.441241342990536,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Pd,e-m,0.158770024441821,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Sc,e-m,0.187918162120945,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Zr,e-m,0.212070470446699,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,,m-c,0.049721663691253,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,,,c-p,0.0085801701600822,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ag,e-m,0.0052970881587666,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Al,e-m,0.0541772902423329,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,As,e-m,0.0983049665949616,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ca,e-m,0.0656440870647553,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Cl,e-m,0.0312170332772597,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Cu,e-m,0.0666589862832109,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Dy,e-m,0.0436636272757903,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ga,e-m,0.0253574619192034,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Mn,e-m,0.188721602901148,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Mo,e-m,0.0254705103599369,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,O,e-m,0.0323808497983719,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Pd,e-m,0.251462302692411,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Sm,e-m,0.0586138081302996,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Sr,e-m,0.0433059682689133,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Zr,e-m,0.0097244170326394,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,,m-c,0.0467559438298998,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Ag,e-m,0.317538794001545,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Al,e-m,0.648912642515686,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Dy,e-m,0.0335485634827684,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,,m-c,0.060002625538394,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Ag,e-m,0.0034198741604511,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Pd,e-m,0.202237305310182,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Sc,e-m,0.217482158439708,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Zr,e-m,0.576860662089659,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,,m-c,0.0426387879184526,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrUndefinedMaterials,Ag,e-m,1,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrUndefinedMaterials,,m-c,0.014174474912349,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrganics,Ag,e-m,1,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrganics,,m-c,0.033263578315898,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,plastics,Ag,e-m,1,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,plastics,,m-c,0.0991309589529389,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,undefinedAndMixedMaterials,Ag,e-m,1,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,undefinedAndMixedMaterials,,m-c,0.0578919810188645,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,wood,Ag,e-m,1,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,wood,,m-c,0.0613790427988074,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ConductivitySensor,CuAndCuAlloys,,m-c,0.325055931517185,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ConductivitySensor,ferrousMetals,,m-c,0.674944068482815,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ConductivitySensor,,,c-p,0.0264631601643859,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LED,,,c-p,0.0126021118632839,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Ag,e-m,0.052270246623077,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,As,e-m,0.172470019104259,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Cu,e-m,0.0360982636073384,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Ga,e-m,0.405492551461314,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Mn,e-m,0.0671903551704059,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Mo,e-m,0.151587705342119,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Sm,e-m,0.114890858691487,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,,m-c,0.0339707346273752,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,Ag,e-m,0.834828370156582,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,Dy,e-m,0.0187444939421661,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,Zr,e-m,0.146427135901252,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,,m-c,0.217707966067326,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Ag,e-m,0.627912310646958,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Ca,e-m,0.0230000019963877,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Cu,e-m,0.0447795153395063,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Ga,e-m,0.122311686829983,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Mo,e-m,0.0426048910460315,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,O,e-m,0.004217120106769,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Sm,e-m,0.135174474034364,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,,m-c,0.478267294282448,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Ag,e-m,0.484912569579454,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Pd,e-m,0.26875564788417,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Sc,e-m,0.131084308059573,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Zr,e-m,0.115247474476803,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,,m-c,0.212386062497191,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),,,c-p,0.0017109447788619,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),plastics,Ag,e-m,1,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),plastics,,m-c,0.0576679425256601,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,CuAndCuAlloys,Ag,e-m,0.855675185957524,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,CuAndCuAlloys,Dy,e-m,0.0358048369735917,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,CuAndCuAlloys,Zr,e-m,0.108519977068884,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,CuAndCuAlloys,,m-c,0.0280010985193631,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,ferrousMetals,Ag,e-m,0.242740918176217,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,ferrousMetals,Ca,e-m,0.347130939983965,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,ferrousMetals,Ga,e-m,0.0879330021447304,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,ferrousMetals,Mo,e-m,0.0238109464191302,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,ferrousMetals,Sm,e-m,0.298384193275958,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,ferrousMetals,,m-c,0.372316451197311,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,,,c-p,0.0192387371692473,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,plastics,Ag,e-m,1,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,plastics,,m-c,0.599682450283326,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBWEEECat,,,c-p,0.0110363893204878,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBWEEECat,otherOrUndefinedMaterials,Ag,e-m,1,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBWEEECat,otherOrUndefinedMaterials,,m-c,1,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBunspecified,ferrousMetals,Ag,e-m,0.263002623578651,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBunspecified,ferrousMetals,Cu,e-m,0.0667710326950938,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBunspecified,ferrousMetals,Ga,e-m,0.23570516938025,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBunspecified,ferrousMetals,Mo,e-m,0.114910645569763,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBunspecified,ferrousMetals,O,e-m,0.219063698024491,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBunspecified,ferrousMetals,Sm,e-m,0.100546830751751,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBunspecified,ferrousMetals,,m-c,1,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PCBunspecified,,,c-p,0.0237451202485211,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVBacksheet,,,c-p,0.0225378827843545,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVBacksheet,plasticComposites,Ag,e-m,1,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVBacksheet,plasticComposites,,m-c,0.145488546954241,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVBacksheet,plastics,Ag,e-m,1,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVBacksheet,plastics,,m-c,0.854511453045759,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVEncapsulationEVA,,,c-p,0.0024657252150669,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVEncapsulationEVA,plastics,Ag,e-m,1,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVEncapsulationEVA,plastics,,m-c,1,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Ag,e-m,0.0075304442923247,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,As,e-m,0.0378280493281077,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Cu,e-m,0.0791626824477998,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Ga,e-m,0.272796799976355,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Mn,e-m,0.143328521527305,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Mo,e-m,0.255782587255994,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Sm,e-m,0.203570915172114,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,,m-c,1,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,,,c-p,0.0192396862375469,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVSolarGlass,glass,Ag,e-m,0.398154774633419,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVSolarGlass,glass,Pd,e-m,0.0023229417588576,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVSolarGlass,glass,Sc,e-m,0.202502492870602,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVSolarGlass,glass,Zr,e-m,0.397019790737122,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVSolarGlass,glass,,m-c,1,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVSolarGlass,,,c-p,0.002852512817387,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVcellSi,,,c-p,0.0310499767339857,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVcellSi,otherOrUndefinedMaterials,Ag,e-m,1,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,PVcellSi,otherOrUndefinedMaterials,,m-c,1,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,CuAndCuAlloys,Ag,e-m,0.278724418261726,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,CuAndCuAlloys,Dy,e-m,0.200227801678909,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,CuAndCuAlloys,Zr,e-m,0.521047780059365,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,CuAndCuAlloys,,m-c,0.165283251183904,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,,,c-p,0.0150427016912077,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,Ag,e-m,0.0720101304115142,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,Cu,e-m,0.289774113957374,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,Ga,e-m,0.0356865534456729,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,Mo,e-m,0.134753082492704,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,O,e-m,0.212157250658961,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,Sm,e-m,0.255618869033774,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,,m-c,0.834716748816096,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,AlAndAlAlloys,Ag,e-m,0.0845947426135173,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,AlAndAlAlloys,As,e-m,0.563303046680473,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,AlAndAlAlloys,Cu,e-m,0.0927517697152945,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,AlAndAlAlloys,Ga,e-m,0.0473659966553557,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,AlAndAlAlloys,Mn,e-m,0.0831025654731198,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,AlAndAlAlloys,Mo,e-m,0.0886632684505944,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,AlAndAlAlloys,Sm,e-m,0.0402186104116449,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,AlAndAlAlloys,,m-c,0.623453230642739,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,ferrousMetals,Ag,e-m,0.246490294153959,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,ferrousMetals,Ca,e-m,0.066665115211,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,ferrousMetals,Ga,e-m,0.141651015124841,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,ferrousMetals,Mo,e-m,0.145519697268097,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,ferrousMetals,Sm,e-m,0.399673878242104,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,ferrousMetals,,m-c,0.0379479768144739,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,,,c-p,0.0058866019067991,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,plastics,Ag,e-m,1,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,brush,plastics,,m-c,0.338598792542787,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Ag,e-m,0.0272953893328794,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,As,e-m,0.0128576414460215,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Cu,e-m,0.0775434581634656,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Ga,e-m,0.0284611553582591,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Mn,e-m,0.207934982334716,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Mo,e-m,0.114964922320189,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Sm,e-m,0.530942451044469,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,,m-c,0.103553291317291,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,CuAndCuAlloys,Ag,e-m,0.304464739761477,%,1
