flow,product,component,material,element,mass
F6,P1,C2,∅,∅,11.24221326493221
F6,P1,C2,M1,∅,7.419860754855261
F6,P1,C2,M1,E1,2.077561011359473
F6,P1,C2,M1,E2,5.342299743495787
F6,P1,C2,M2,∅,3.8223525100769526
F6,P1,C2,M2,E1,0.30578820080615615
F6,P1,C2,M2,E2,3.5165643092707963
F6,P1,C3,∅,∅,1.8252189855367693
F6,P1,C3,M1,∅,0.894357302913017
F6,P1,C3,M1,E1,0.28619433693216545
F6,P1,C3,M1,E2,0.6081629659808516
F6,P1,C3,M2,∅,0.9308616826237522
F6,P1,C3,M2,E1,0.16755510287227543
F6,P1,C3,M2,E2,0.7633065797514769
F6,P2,C2,∅,∅,6.073378526932944
F6,P2,C2,M1,∅,5.405306888970321
F6,P2,C2,M1,E1,2.4864411689263477
F6,P2,C2,M1,E2,2.918865720043973
F6,P2,C2,M2,∅,0.6680716379626238
F6,P2,C2,M2,E1,0.3340358189813119
F6,P2,C2,M2,E2,0.3340358189813119
F7,P1,C2,M1,∅,2.0777893147673145
F7,P1,C2,M1,E1,0.581781008134848
F7,P1,C2,M1,E2,1.496008306632466
F7,P1,C2,M2,∅,2.040254159032613
F7,P1,C2,M2,E1,0.16322033272260902
F7,P1,C2,M2,E2,1.877033826310004
F7,P1,C3,M1,∅,0.83047463841923
F7,P1,C3,M1,E1,0.2657518842941536
F7,P1,C3,M1,E2,0.5647227541250764
F7,P1,C3,M2,∅,2.593114687309024
F7,P1,C3,M2,E1,0.46676064371562437
F7,P1,C3,M2,E2,2.1263540435933996
F7,P2,C2,M1,∅,1.6557202075851962
F7,P2,C2,M1,E1,0.7616312954891904
F7,P2,C2,M1,E2,0.894088912096006
F7,P2,C2,M2,∅,0.3583063727555882
F7,P2,C2,M2,E1,0.1791531863777941
F7,P2,C2,M2,E2,0.1791531863777941
F8,P1,C1,M1,E1,1.59705
F8,P1,C1,M2,E2,0.011519999999999999
F8,P1,C2,M1,E1,0.1737889374745328
F8,P1,C2,M2,E2,0.6171326908318067
F8,P1,C3,M1,E1,0.037205263801181505
F8,P1,C3,M2,E2,0.4040072682827459
F8,P2,C1,M1,E1,0.22854424320000005
F8,P2,C1,M2,E2,0.0865492992
F8,P2,C2,M1,E1,0.28206803155353616
F8,P2,C2,M2,E2,0.07332090300247344
