flows,products,components,materials,elements,mass (tonnes)
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,-1,-1,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,-1,-1,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,-1,-1,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,Cables,-1,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,Cables,-1,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,Cables,-1,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,-1,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,-1,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,-1,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,Cables,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,Cables,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,Cables,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,-1,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,-1,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,-1,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,Cables,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,Cables,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,Cables,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,-1,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,-1,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,-1,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,Cables,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,Cables,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,Cables,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_AlScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,-1,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,-1,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,-1,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,Cables,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,Cables,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,Cables,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,-1,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,-1,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,-1,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,Cables,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,Cables,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,Cables,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,-1,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,-1,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,-1,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,Cables,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,Cables,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,Cables,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec2Smelter_CuScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,-1,-1,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,-1,-1,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,-1,-1,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,Cables,-1,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,Cables,-1,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,Cables,-1,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,-1,-1,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,-1,-1,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,-1,-1,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,Cables,-1,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,Cables,-1,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,Cables,-1,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,-1,-1,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,-1,-1,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,-1,-1,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,Cables,-1,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,Cables,-1,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,Cables,-1,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRecLampsSmelter_CuScrap,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_INFLOW,-1,-1,-1,-1,0.0
WEEE_INFLOW,-1,-1,-1,Al,0.0
WEEE_INFLOW,-1,-1,-1,Cu,0.0
WEEE_INFLOW,-1,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_INFLOW,-1,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_INFLOW,-1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_INFLOW,-1,Cables,-1,-1,0.0
WEEE_INFLOW,-1,Cables,-1,Al,0.0
WEEE_INFLOW,-1,Cables,-1,Cu,0.0
WEEE_INFLOW,-1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_INFLOW,-1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_INFLOW,-1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_INFLOW,-1,PCBUnspecified,-1,-1,0.0
WEEE_INFLOW,-1,PCBUnspecified,-1,Al,0.0
WEEE_INFLOW,-1,PCBUnspecified,-1,Cu,0.0
WEEE_INFLOW,-1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_INFLOW,-1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_INFLOW,-1,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_INFLOW,Cat_1,-1,-1,-1,1000000.0
WEEE_INFLOW,Cat_1,-1,-1,Al,0.0
WEEE_INFLOW,Cat_1,-1,-1,Cu,0.0
WEEE_INFLOW,Cat_1,-1,AluminiumAlloyUnspecified,-1,50000.0
WEEE_INFLOW,Cat_1,-1,AluminiumAlloyUnspecified,Al,47500.0
WEEE_INFLOW,Cat_1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_INFLOW,Cat_1,Cables,-1,-1,5000.0
WEEE_INFLOW,Cat_1,Cables,-1,Al,200.0
WEEE_INFLOW,Cat_1,Cables,-1,Cu,1000.0
WEEE_INFLOW,Cat_1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_INFLOW,Cat_1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_INFLOW,Cat_1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_INFLOW,Cat_1,PCBUnspecified,-1,-1,7000.0
WEEE_INFLOW,Cat_1,PCBUnspecified,-1,Al,105.0
WEEE_INFLOW,Cat_1,PCBUnspecified,-1,Cu,490.00000000000006
WEEE_INFLOW,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_INFLOW,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_INFLOW,Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_INFLOW,Cat_2,-1,-1,-1,800000.0
WEEE_INFLOW,Cat_2,-1,-1,Al,0.0
WEEE_INFLOW,Cat_2,-1,-1,Cu,0.0
WEEE_INFLOW,Cat_2,-1,AluminiumAlloyUnspecified,-1,80000.0
WEEE_INFLOW,Cat_2,-1,AluminiumAlloyUnspecified,Al,72000.0
WEEE_INFLOW,Cat_2,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_INFLOW,Cat_2,Cables,-1,-1,1600.0
WEEE_INFLOW,Cat_2,Cables,-1,Al,32.0
WEEE_INFLOW,Cat_2,Cables,-1,Cu,48.0
WEEE_INFLOW,Cat_2,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_INFLOW,Cat_2,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_INFLOW,Cat_2,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_INFLOW,Cat_2,PCBUnspecified,-1,-1,80000.0
WEEE_INFLOW,Cat_2,PCBUnspecified,-1,Al,3200.0
WEEE_INFLOW,Cat_2,PCBUnspecified,-1,Cu,12000.0
WEEE_INFLOW,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_INFLOW,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_INFLOW,Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_PVPanels,-1,-1,-1,-1,0.0
WEEE_PVPanels,-1,-1,-1,Al,0.0
WEEE_PVPanels,-1,-1,-1,Cu,0.0
WEEE_PVPanels,-1,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_PVPanels,-1,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_PVPanels,-1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_PVPanels,-1,Cables,-1,-1,0.0
WEEE_PVPanels,-1,Cables,-1,Al,0.0
WEEE_PVPanels,-1,Cables,-1,Cu,0.0
WEEE_PVPanels,-1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_PVPanels,-1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_PVPanels,-1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_PVPanels,-1,PCBUnspecified,-1,-1,0.0
WEEE_PVPanels,-1,PCBUnspecified,-1,Al,0.0
WEEE_PVPanels,-1,PCBUnspecified,-1,Cu,0.0
WEEE_PVPanels,-1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_PVPanels,-1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
