flows,products,components,materials,elements,0
F0,Cat_2,C2,∅,∅,320000.0
F0,Cat_2,C2,∅,Al,0.0
F0,Cat_2,C2,∅,Cu,0.0
F0,Cat_2,C2,M1,∅,128000.0
F0,Cat_2,C2,M1,Al,64000.0
F0,Cat_2,C2,M1,Cu,64000.0
F0,Cat_2,C2,M2,∅,192000.0
F0,Cat_2,C2,M2,Al,153600.0
F0,Cat_2,C2,M2,Cu,38400.0
F1,∅,∅,∅,∅,0.0
F1,∅,∅,∅,Al,0.0
F1,∅,∅,∅,Cu,0.0
F1,∅,∅,M1,∅,0.0
F1,∅,∅,M1,Al,0.0
F1,∅,∅,M1,Cu,0.0
F1,∅,∅,M2,∅,0.0
F1,∅,∅,M2,Al,0.0
F1,∅,∅,M2,Cu,0.0
F1,∅,C1,∅,∅,0.0
F1,∅,C1,∅,Al,0.0
F1,∅,C1,∅,Cu,0.0
F1,∅,C1,M1,∅,0.0
F1,∅,C1,M1,Al,0.0
F1,∅,C1,M1,Cu,0.0
F1,∅,C1,M2,∅,0.0
F1,∅,C1,M2,Al,0.0
F1,∅,C1,M2,Cu,0.0
F1,∅,C2,∅,∅,0.0
F1,∅,C2,∅,Al,0.0
F1,∅,C2,∅,Cu,0.0
F1,∅,C2,M1,∅,0.0
F1,∅,C2,M1,Al,0.0
F1,∅,C2,M1,Cu,0.0
F1,∅,C2,M2,∅,0.0
F1,∅,C2,M2,Al,0.0
F1,∅,C2,M2,Cu,0.0
F1,Cat_1,∅,∅,∅,0.0
F1,Cat_1,∅,∅,Al,0.0
F1,Cat_1,∅,∅,Cu,0.0
F1,Cat_1,∅,M1,∅,0.0
F1,Cat_1,∅,M1,Al,0.0
F1,Cat_1,∅,M1,Cu,0.0
F1,Cat_1,∅,M2,∅,0.0
F1,Cat_1,∅,M2,Al,0.0
F1,Cat_1,∅,M2,Cu,0.0
F1,Cat_1,C1,∅,∅,0.0
F1,Cat_1,C1,∅,Al,0.0
F1,Cat_1,C1,∅,Cu,0.0
F1,Cat_1,C1,M1,∅,0.0
F1,Cat_1,C1,M1,Al,0.0
F1,Cat_1,C1,M1,Cu,0.0
F1,Cat_1,C1,M2,∅,0.0
F1,Cat_1,C1,M2,Al,0.0
F1,Cat_1,C1,M2,Cu,0.0
F1,Cat_1,C2,∅,∅,0.0
F1,Cat_1,C2,∅,Al,0.0
F1,Cat_1,C2,∅,Cu,0.0
F1,Cat_1,C2,M1,∅,0.0
F1,Cat_1,C2,M1,Al,0.0
F1,Cat_1,C2,M1,Cu,0.0
F1,Cat_1,C2,M2,∅,0.0
F1,Cat_1,C2,M2,Al,0.0
F1,Cat_1,C2,M2,Cu,0.0
F1,Cat_2,∅,∅,∅,0.0
F1,Cat_2,∅,∅,Al,0.0
F1,Cat_2,∅,∅,Cu,0.0
F1,Cat_2,∅,M1,∅,0.0
F1,Cat_2,∅,M1,Al,0.0
F1,Cat_2,∅,M1,Cu,0.0
F1,Cat_2,∅,M2,∅,0.0
F1,Cat_2,∅,M2,Al,0.0
F1,Cat_2,∅,M2,Cu,0.0
F1,Cat_2,C1,∅,∅,0.0
F1,Cat_2,C1,∅,Al,0.0
F1,Cat_2,C1,∅,Cu,0.0
F1,Cat_2,C1,M1,∅,0.0
F1,Cat_2,C1,M1,Al,0.0
F1,Cat_2,C1,M1,Cu,0.0
F1,Cat_2,C1,M2,∅,0.0
F1,Cat_2,C1,M2,Al,0.0
F1,Cat_2,C1,M2,Cu,0.0
F1,Cat_2,C2,∅,∅,0.0
F1,Cat_2,C2,∅,Al,0.0
F1,Cat_2,C2,∅,Cu,0.0
F1,Cat_2,C2,M1,∅,0.0
F1,Cat_2,C2,M1,Al,0.0
F1,Cat_2,C2,M1,Cu,0.0
F1,Cat_2,C2,M2,∅,0.0
F1,Cat_2,C2,M2,Al,0.0
F1,Cat_2,C2,M2,Cu,0.0
F2,∅,∅,∅,∅,0.0
F2,∅,∅,∅,Al,0.0
F2,∅,∅,∅,Cu,0.0
F2,∅,∅,M1,∅,0.0
F2,∅,∅,M1,Al,0.0
F2,∅,∅,M1,Cu,0.0
F2,∅,∅,M2,∅,0.0
F2,∅,∅,M2,Al,0.0
F2,∅,∅,M2,Cu,0.0
F2,∅,C1,∅,∅,0.0
F2,∅,C1,∅,Al,0.0
F2,∅,C1,∅,Cu,0.0
F2,∅,C1,M1,∅,0.0
F2,∅,C1,M1,Al,0.0
F2,∅,C1,M1,Cu,0.0
F2,∅,C1,M2,∅,0.0
F2,∅,C1,M2,Al,0.0
F2,∅,C1,M2,Cu,0.0
F2,∅,C2,∅,∅,0.0
F2,∅,C2,∅,Al,0.0
F2,∅,C2,∅,Cu,0.0
F2,∅,C2,M1,∅,0.0
F2,∅,C2,M1,Al,0.0
F2,∅,C2,M1,Cu,0.0
F2,∅,C2,M2,∅,0.0
F2,∅,C2,M2,Al,0.0
F2,∅,C2,M2,Cu,0.0
F2,Cat_1,∅,∅,∅,0.0
F2,Cat_1,∅,∅,Al,0.0
F2,Cat_1,∅,∅,Cu,0.0
F2,Cat_1,∅,M1,∅,0.0
F2,Cat_1,∅,M1,Al,0.0
F2,Cat_1,∅,M1,Cu,0.0
F2,Cat_1,∅,M2,∅,0.0
F2,Cat_1,∅,M2,Al,0.0
F2,Cat_1,∅,M2,Cu,0.0
F2,Cat_1,C1,∅,∅,0.0
F2,Cat_1,C1,∅,Al,0.0
F2,Cat_1,C1,∅,Cu,0.0
F2,Cat_1,C1,M1,∅,0.0
F2,Cat_1,C1,M1,Al,0.0
F2,Cat_1,C1,M1,Cu,0.0
F2,Cat_1,C1,M2,∅,0.0
F2,Cat_1,C1,M2,Al,0.0
F2,Cat_1,C1,M2,Cu,0.0
F2,Cat_1,C2,∅,∅,0.0
F2,Cat_1,C2,∅,Al,0.0
F2,Cat_1,C2,∅,Cu,0.0
F2,Cat_1,C2,M1,∅,0.0
F2,Cat_1,C2,M1,Al,0.0
F2,Cat_1,C2,M1,Cu,0.0
F2,Cat_1,C2,M2,∅,0.0
F2,Cat_1,C2,M2,Al,0.0
F2,Cat_1,C2,M2,Cu,0.0
F2,Cat_2,∅,∅,∅,0.0
F2,Cat_2,∅,∅,Al,0.0
F2,Cat_2,∅,∅,Cu,0.0
F2,Cat_2,∅,M1,∅,0.0
F2,Cat_2,∅,M1,Al,0.0
F2,Cat_2,∅,M1,Cu,0.0
F2,Cat_2,∅,M2,∅,0.0
F2,Cat_2,∅,M2,Al,0.0
F2,Cat_2,∅,M2,Cu,0.0
F2,Cat_2,C1,∅,∅,0.0
F2,Cat_2,C1,∅,Al,0.0
F2,Cat_2,C1,∅,Cu,0.0
F2,Cat_2,C1,M1,∅,0.0
F2,Cat_2,C1,M1,Al,0.0
F2,Cat_2,C1,M1,Cu,0.0
F2,Cat_2,C1,M2,∅,0.0
F2,Cat_2,C1,M2,Al,0.0
F2,Cat_2,C1,M2,Cu,0.0
F2,Cat_2,C2,∅,∅,0.0
F2,Cat_2,C2,∅,Al,0.0
F2,Cat_2,C2,∅,Cu,0.0
F2,Cat_2,C2,M1,∅,0.0
F2,Cat_2,C2,M1,Al,0.0
F2,Cat_2,C2,M1,Cu,0.0
F2,Cat_2,C2,M2,∅,0.0
F2,Cat_2,C2,M2,Al,0.0
F2,Cat_2,C2,M2,Cu,0.0
F3,∅,∅,∅,∅,0.0
F3,∅,∅,∅,Al,0.0
F3,∅,∅,∅,Cu,0.0
F3,∅,∅,M1,∅,0.0
F3,∅,∅,M1,Al,0.0
F3,∅,∅,M1,Cu,0.0
F3,∅,∅,M2,∅,0.0
F3,∅,∅,M2,Al,0.0
F3,∅,∅,M2,Cu,0.0
F3,∅,C1,∅,∅,0.0
F3,∅,C1,∅,Al,0.0
F3,∅,C1,∅,Cu,0.0
F3,∅,C1,M1,∅,0.0
F3,∅,C1,M1,Al,0.0
F3,∅,C1,M1,Cu,0.0
F3,∅,C1,M2,∅,0.0
F3,∅,C1,M2,Al,0.0
F3,∅,C1,M2,Cu,0.0
F3,∅,C2,∅,∅,0.0
F3,∅,C2,∅,Al,0.0
F3,∅,C2,∅,Cu,0.0
F3,∅,C2,M1,∅,0.0
F3,∅,C2,M1,Al,0.0
F3,∅,C2,M1,Cu,0.0
F3,∅,C2,M2,∅,0.0
F3,∅,C2,M2,Al,0.0
F3,∅,C2,M2,Cu,0.0
F3,Cat_1,∅,∅,∅,0.0
F3,Cat_1,∅,∅,Al,0.0
F3,Cat_1,∅,∅,Cu,0.0
F3,Cat_1,∅,M1,∅,0.0
F3,Cat_1,∅,M1,Al,0.0
F3,Cat_1,∅,M1,Cu,0.0
F3,Cat_1,∅,M2,∅,0.0
F3,Cat_1,∅,M2,Al,0.0
F3,Cat_1,∅,M2,Cu,0.0
F3,Cat_1,C1,∅,∅,0.0
F3,Cat_1,C1,∅,Al,0.0
F3,Cat_1,C1,∅,Cu,0.0
F3,Cat_1,C1,M1,∅,0.0
F3,Cat_1,C1,M1,Al,0.0
F3,Cat_1,C1,M1,Cu,0.0
F3,Cat_1,C1,M2,∅,0.0
F3,Cat_1,C1,M2,Al,0.0
F3,Cat_1,C1,M2,Cu,0.0
F3,Cat_1,C2,∅,∅,0.0
F3,Cat_1,C2,∅,Al,0.0
F3,Cat_1,C2,∅,Cu,0.0
F3,Cat_1,C2,M1,∅,0.0
F3,Cat_1,C2,M1,Al,0.0
F3,Cat_1,C2,M1,Cu,0.0
F3,Cat_1,C2,M2,∅,0.0
F3,Cat_1,C2,M2,Al,0.0
F3,Cat_1,C2,M2,Cu,0.0
F3,Cat_2,∅,∅,∅,0.0
F3,Cat_2,∅,∅,Al,0.0
F3,Cat_2,∅,∅,Cu,0.0
F3,Cat_2,∅,M1,∅,0.0
F3,Cat_2,∅,M1,Al,0.0
F3,Cat_2,∅,M1,Cu,0.0
F3,Cat_2,∅,M2,∅,0.0
F3,Cat_2,∅,M2,Al,0.0
F3,Cat_2,∅,M2,Cu,0.0
F3,Cat_2,C1,∅,∅,0.0
F3,Cat_2,C1,∅,Al,0.0
F3,Cat_2,C1,∅,Cu,0.0
F3,Cat_2,C1,M1,∅,0.0
F3,Cat_2,C1,M1,Al,0.0
F3,Cat_2,C1,M1,Cu,0.0
F3,Cat_2,C1,M2,∅,0.0
F3,Cat_2,C1,M2,Al,0.0
F3,Cat_2,C1,M2,Cu,0.0
F3,Cat_2,C2,∅,∅,0.0
F3,Cat_2,C2,∅,Al,0.0
F3,Cat_2,C2,∅,Cu,0.0
F3,Cat_2,C2,M1,∅,0.0
F3,Cat_2,C2,M1,Al,0.0
F3,Cat_2,C2,M1,Cu,0.0
F3,Cat_2,C2,M2,∅,0.0
F3,Cat_2,C2,M2,Al,0.0
F3,Cat_2,C2,M2,Cu,0.0
F4,∅,∅,∅,∅,0.0
F4,∅,∅,∅,Al,0.0
F4,∅,∅,∅,Cu,0.0
F4,∅,∅,M1,∅,0.0
F4,∅,∅,M1,Al,0.0
F4,∅,∅,M1,Cu,0.0
F4,∅,∅,M2,∅,0.0
F4,∅,∅,M2,Al,0.0
F4,∅,∅,M2,Cu,0.0
F4,∅,C1,∅,∅,0.0
F4,∅,C1,∅,Al,0.0
F4,∅,C1,∅,Cu,0.0
F4,∅,C1,M1,∅,0.0
F4,∅,C1,M1,Al,0.0
F4,∅,C1,M1,Cu,0.0
F4,∅,C1,M2,∅,0.0
F4,∅,C1,M2,Al,0.0
F4,∅,C1,M2,Cu,0.0
F4,∅,C2,∅,∅,0.0
F4,∅,C2,∅,Al,0.0
F4,∅,C2,∅,Cu,0.0
F4,∅,C2,M1,∅,0.0
F4,∅,C2,M1,Al,0.0
F4,∅,C2,M1,Cu,0.0
F4,∅,C2,M2,∅,0.0
F4,∅,C2,M2,Al,0.0
F4,∅,C2,M2,Cu,0.0
F4,Cat_1,∅,∅,∅,0.0
F4,Cat_1,∅,∅,Al,0.0
F4,Cat_1,∅,∅,Cu,0.0
F4,Cat_1,∅,M1,∅,0.0
F4,Cat_1,∅,M1,Al,0.0
F4,Cat_1,∅,M1,Cu,0.0
F4,Cat_1,∅,M2,∅,0.0
F4,Cat_1,∅,M2,Al,0.0
F4,Cat_1,∅,M2,Cu,0.0
F4,Cat_1,C1,∅,∅,0.0
F4,Cat_1,C1,∅,Al,0.0
F4,Cat_1,C1,∅,Cu,0.0
F4,Cat_1,C1,M1,∅,0.0
F4,Cat_1,C1,M1,Al,0.0
F4,Cat_1,C1,M1,Cu,0.0
F4,Cat_1,C1,M2,∅,0.0
F4,Cat_1,C1,M2,Al,0.0
F4,Cat_1,C1,M2,Cu,0.0
F4,Cat_1,C2,∅,∅,0.0
F4,Cat_1,C2,∅,Al,0.0
F4,Cat_1,C2,∅,Cu,0.0
F4,Cat_1,C2,M1,∅,0.0
F4,Cat_1,C2,M1,Al,0.0
F4,Cat_1,C2,M1,Cu,0.0
F4,Cat_1,C2,M2,∅,0.0
F4,Cat_1,C2,M2,Al,0.0
F4,Cat_1,C2,M2,Cu,0.0
F4,Cat_2,∅,∅,∅,0.0
F4,Cat_2,∅,∅,Al,0.0
F4,Cat_2,∅,∅,Cu,0.0
F4,Cat_2,∅,M1,∅,0.0
F4,Cat_2,∅,M1,Al,0.0
F4,Cat_2,∅,M1,Cu,0.0
F4,Cat_2,∅,M2,∅,0.0
F4,Cat_2,∅,M2,Al,0.0
F4,Cat_2,∅,M2,Cu,0.0
F4,Cat_2,C1,∅,∅,0.0
F4,Cat_2,C1,∅,Al,0.0
F4,Cat_2,C1,∅,Cu,0.0
F4,Cat_2,C1,M1,∅,0.0
F4,Cat_2,C1,M1,Al,0.0
F4,Cat_2,C1,M1,Cu,0.0
F4,Cat_2,C1,M2,∅,0.0
F4,Cat_2,C1,M2,Al,0.0
F4,Cat_2,C1,M2,Cu,0.0
F4,Cat_2,C2,∅,∅,0.0
F4,Cat_2,C2,∅,Al,0.0
F4,Cat_2,C2,∅,Cu,0.0
F4,Cat_2,C2,M1,∅,0.0
F4,Cat_2,C2,M1,Al,0.0
F4,Cat_2,C2,M1,Cu,0.0
F4,Cat_2,C2,M2,∅,0.0
F4,Cat_2,C2,M2,Al,0.0
F4,Cat_2,C2,M2,Cu,0.0
F5,∅,∅,∅,∅,0.0
F5,∅,∅,∅,Al,0.0
F5,∅,∅,∅,Cu,0.0
F5,∅,∅,M1,∅,0.0
F5,∅,∅,M1,Al,0.0
F5,∅,∅,M1,Cu,0.0
F5,∅,∅,M2,∅,0.0
F5,∅,∅,M2,Al,0.0
F5,∅,∅,M2,Cu,0.0
F5,∅,C1,∅,∅,0.0
F5,∅,C1,∅,Al,0.0
F5,∅,C1,∅,Cu,0.0
F5,∅,C1,M1,∅,0.0
F5,∅,C1,M1,Al,0.0
F5,∅,C1,M1,Cu,0.0
F5,∅,C1,M2,∅,0.0
F5,∅,C1,M2,Al,0.0
F5,∅,C1,M2,Cu,0.0
F5,∅,C2,∅,∅,0.0
F5,∅,C2,∅,Al,0.0
F5,∅,C2,∅,Cu,0.0
F5,∅,C2,M1,∅,0.0
F5,∅,C2,M1,Al,0.0
F5,∅,C2,M1,Cu,0.0
F5,∅,C2,M2,∅,0.0
F5,∅,C2,M2,Al,0.0
F5,∅,C2,M2,Cu,0.0
F5,Cat_1,∅,∅,∅,0.0
F5,Cat_1,∅,∅,Al,0.0
F5,Cat_1,∅,∅,Cu,0.0
F5,Cat_1,∅,M1,∅,0.0
F5,Cat_1,∅,M1,Al,0.0
F5,Cat_1,∅,M1,Cu,0.0
F5,Cat_1,∅,M2,∅,0.0
F5,Cat_1,∅,M2,Al,0.0
F5,Cat_1,∅,M2,Cu,0.0
F5,Cat_1,C1,∅,∅,0.0
F5,Cat_1,C1,∅,Al,0.0
F5,Cat_1,C1,∅,Cu,0.0
F5,Cat_1,C1,M1,∅,0.0
F5,Cat_1,C1,M1,Al,0.0
F5,Cat_1,C1,M1,Cu,0.0
F5,Cat_1,C1,M2,∅,0.0
F5,Cat_1,C1,M2,Al,0.0
F5,Cat_1,C1,M2,Cu,0.0
F5,Cat_1,C2,∅,∅,0.0
F5,Cat_1,C2,∅,Al,0.0
F5,Cat_1,C2,∅,Cu,0.0
F5,Cat_1,C2,M1,∅,0.0
F5,Cat_1,C2,M1,Al,0.0
F5,Cat_1,C2,M1,Cu,0.0
F5,Cat_1,C2,M2,∅,0.0
F5,Cat_1,C2,M2,Al,0.0
F5,Cat_1,C2,M2,Cu,0.0
F5,Cat_2,∅,∅,∅,0.0
F5,Cat_2,∅,∅,Al,0.0
F5,Cat_2,∅,∅,Cu,0.0
F5,Cat_2,∅,M1,∅,0.0
F5,Cat_2,∅,M1,Al,0.0
F5,Cat_2,∅,M1,Cu,0.0
F5,Cat_2,∅,M2,∅,0.0
F5,Cat_2,∅,M2,Al,0.0
F5,Cat_2,∅,M2,Cu,0.0
F5,Cat_2,C1,∅,∅,0.0
F5,Cat_2,C1,∅,Al,0.0
F5,Cat_2,C1,∅,Cu,0.0
F5,Cat_2,C1,M1,∅,0.0
F5,Cat_2,C1,M1,Al,0.0
F5,Cat_2,C1,M1,Cu,0.0
F5,Cat_2,C1,M2,∅,0.0
F5,Cat_2,C1,M2,Al,0.0
F5,Cat_2,C1,M2,Cu,0.0
F5,Cat_2,C2,∅,∅,0.0
F5,Cat_2,C2,∅,Al,0.0
F5,Cat_2,C2,∅,Cu,0.0
F5,Cat_2,C2,M1,∅,0.0
F5,Cat_2,C2,M1,Al,0.0
F5,Cat_2,C2,M1,Cu,0.0
F5,Cat_2,C2,M2,∅,0.0
F5,Cat_2,C2,M2,Al,0.0
F5,Cat_2,C2,M2,Cu,0.0
F6,∅,∅,∅,∅,0.0
F6,∅,∅,∅,Al,0.0
F6,∅,∅,∅,Cu,0.0
F6,∅,∅,M1,∅,0.0
F6,∅,∅,M1,Al,0.0
F6,∅,∅,M1,Cu,0.0
F6,∅,∅,M2,∅,0.0
F6,∅,∅,M2,Al,0.0
F6,∅,∅,M2,Cu,0.0
F6,∅,C1,∅,∅,0.0
F6,∅,C1,∅,Al,0.0
F6,∅,C1,∅,Cu,0.0
F6,∅,C1,M1,∅,0.0
F6,∅,C1,M1,Al,0.0
F6,∅,C1,M1,Cu,0.0
F6,∅,C1,M2,∅,0.0
F6,∅,C1,M2,Al,0.0
F6,∅,C1,M2,Cu,0.0
F6,∅,C2,∅,∅,0.0
F6,∅,C2,∅,Al,0.0
F6,∅,C2,∅,Cu,0.0
F6,∅,C2,M1,∅,0.0
F6,∅,C2,M1,Al,0.0
F6,∅,C2,M1,Cu,0.0
F6,∅,C2,M2,∅,0.0
F6,∅,C2,M2,Al,0.0
F6,∅,C2,M2,Cu,0.0
F6,Cat_1,∅,∅,∅,0.0
F6,Cat_1,∅,∅,Al,0.0
F6,Cat_1,∅,∅,Cu,0.0
F6,Cat_1,∅,M1,∅,0.0
F6,Cat_1,∅,M1,Al,0.0
F6,Cat_1,∅,M1,Cu,0.0
F6,Cat_1,∅,M2,∅,0.0
F6,Cat_1,∅,M2,Al,0.0
F6,Cat_1,∅,M2,Cu,0.0
F6,Cat_1,C1,∅,∅,0.0
F6,Cat_1,C1,∅,Al,0.0
F6,Cat_1,C1,∅,Cu,0.0
F6,Cat_1,C1,M1,∅,0.0
F6,Cat_1,C1,M1,Al,0.0
F6,Cat_1,C1,M1,Cu,0.0
F6,Cat_1,C1,M2,∅,0.0
F6,Cat_1,C1,M2,Al,0.0
F6,Cat_1,C1,M2,Cu,0.0
F6,Cat_1,C2,∅,∅,0.0
F6,Cat_1,C2,∅,Al,0.0
F6,Cat_1,C2,∅,Cu,0.0
F6,Cat_1,C2,M1,∅,0.0
F6,Cat_1,C2,M1,Al,0.0
F6,Cat_1,C2,M1,Cu,0.0
F6,Cat_1,C2,M2,∅,0.0
F6,Cat_1,C2,M2,Al,0.0
F6,Cat_1,C2,M2,Cu,0.0
F6,Cat_2,∅,∅,∅,0.0
F6,Cat_2,∅,∅,Al,0.0
F6,Cat_2,∅,∅,Cu,0.0
F6,Cat_2,∅,M1,∅,0.0
F6,Cat_2,∅,M1,Al,0.0
F6,Cat_2,∅,M1,Cu,0.0
F6,Cat_2,∅,M2,∅,0.0
F6,Cat_2,∅,M2,Al,0.0
F6,Cat_2,∅,M2,Cu,0.0
F6,Cat_2,C1,∅,∅,0.0
F6,Cat_2,C1,∅,Al,0.0
F6,Cat_2,C1,∅,Cu,0.0
F6,Cat_2,C1,M1,∅,0.0
F6,Cat_2,C1,M1,Al,0.0
F6,Cat_2,C1,M1,Cu,0.0
F6,Cat_2,C1,M2,∅,0.0
F6,Cat_2,C1,M2,Al,0.0
F6,Cat_2,C1,M2,Cu,0.0
F6,Cat_2,C2,∅,∅,0.0
F6,Cat_2,C2,∅,Al,0.0
F6,Cat_2,C2,∅,Cu,0.0
F6,Cat_2,C2,M1,∅,0.0
F6,Cat_2,C2,M1,Al,0.0
F6,Cat_2,C2,M1,Cu,0.0
F6,Cat_2,C2,M2,∅,0.0
F6,Cat_2,C2,M2,Al,0.0
F6,Cat_2,C2,M2,Cu,0.0
