,flow,layer,key,data
83,WEEE_generatedComplementaryUndocumented,component,ConductivitySensor,67795.08930033482
84,WEEE_generatedComplementaryUndocumented,component,LED,33503.749217284785
85,WEEE_generatedComplementaryUndocumented,component,LidarSensor (&lt;15cm),41499.91409664283
86,WEEE_generatedComplementaryUndocumented,component,MagnetSensor,144431.94450610838
87,WEEE_generatedComplementaryUndocumented,component,PCBWEEECat,25897.29399409945
88,WEEE_generatedComplementaryUndocumented,component,PCBunspecified,47598.89659022864
89,WEEE_generatedComplementaryUndocumented,component,PVBacksheet,62909.74294006123
90,WEEE_generatedComplementaryUndocumented,component,PVEncapsulationEVA,84811.97034123958
91,WEEE_generatedComplementaryUndocumented,component,PVFrameAl,60727.698675959036
92,WEEE_generatedComplementaryUndocumented,component,PVSolarGlass,40002.833112470835
93,WEEE_generatedComplementaryUndocumented,component,PVcellSi,50824.86245084473
94,WEEE_generatedComplementaryUndocumented,component,WEEEEvaporator,28662.904413493343
95,WEEE_generatedComplementaryUndocumented,component,brush,35967.873224164396
96,WEEE_generatedComplementaryUndocumented,component,cableUnspecified,93384.19642522672
97,WEEE_generatedComplementaryUndocumented,component,cableWOPlug,16591.825697082622
98,WEEE_generatedComplementaryUndocumented,component,cableWPlug,37794.343446113395
99,WEEE_generatedComplementaryUndocumented,component,cableWithConnector,25533.402162702234
100,WEEE_generatedComplementaryUndocumented,component,cables,86954.75415091915
101,WEEE_generatedComplementaryUndocumented,component,cablewire,62446.99719220196
102,WEEE_generatedComplementaryUndocumented,component,capElectrolytic,46805.03167940442
103,WEEE_generatedComplementaryUndocumented,component,casingPlasticBased,52030.096134292275
104,WEEE_generatedComplementaryUndocumented,component,casingSteelBased,35168.20772690903
105,WEEE_generatedComplementaryUndocumented,component,casingUnspecified,74985.0658359626
106,WEEE_generatedComplementaryUndocumented,component,coldCathodeLamp,103061.26813933061
107,WEEE_generatedComplementaryUndocumented,component,compContainHazardSubst,39242.00799347047
108,WEEE_generatedComplementaryUndocumented,component,compressor,101521.4715809243
109,WEEE_generatedComplementaryUndocumented,component,condensator,66211.8792310164
110,WEEE_generatedComplementaryUndocumented,component,contactor,11571.471760315782
111,WEEE_generatedComplementaryUndocumented,component,displayCRT,74296.90716687072
112,WEEE_generatedComplementaryUndocumented,component,displayLCD,37075.943785774674
113,WEEE_generatedComplementaryUndocumented,component,displayLCDunder100cm2,44355.00614676448
114,WEEE_generatedComplementaryUndocumented,component,displayOther,57245.40411665474
115,WEEE_generatedComplementaryUndocumented,component,displayPlasma,94609.20792164175
116,WEEE_generatedComplementaryUndocumented,component,driveCDDExt,20650.28248906289
117,WEEE_generatedComplementaryUndocumented,component,driveCDDInt,61049.37328858943
118,WEEE_generatedComplementaryUndocumented,component,driveFDD,46233.60791226219
119,WEEE_generatedComplementaryUndocumented,component,driveHDD,70584.04759500857
120,WEEE_generatedComplementaryUndocumented,component,driveUnspecified,90205.63626189472
121,WEEE_generatedComplementaryUndocumented,component,electricEngine,158889.74121435184
122,WEEE_generatedComplementaryUndocumented,component,filterFoamBased,24024.73718709743
123,WEEE_generatedComplementaryUndocumented,component,fuse,64925.827028982676
124,WEEE_generatedComplementaryUndocumented,component,gear,22706.395528868463
125,WEEE_generatedComplementaryUndocumented,component,heatingCoolingEEEairCondenser,51699.25798678961
126,WEEE_generatedComplementaryUndocumented,component,heatingCoolingEEEfan,44755.73000015903
127,WEEE_generatedComplementaryUndocumented,component,heatingCoolingEEEheatSink,49292.792775985494
128,WEEE_generatedComplementaryUndocumented,component,inductor,32063.364535615656
129,WEEE_generatedComplementaryUndocumented,component,insulation,54535.997568340055
130,WEEE_generatedComplementaryUndocumented,component,keyboard,41934.694973866775
131,WEEE_generatedComplementaryUndocumented,component,knob,68368.3921128375
132,WEEE_generatedComplementaryUndocumented,component,lenseAssembly,8137.619451208912
133,WEEE_generatedComplementaryUndocumented,component,lighting,93880.3088935564
134,WEEE_generatedComplementaryUndocumented,component,lightingFlash,56066.39946284346
135,WEEE_generatedComplementaryUndocumented,component,magnetPermanent,85262.43784176304
136,WEEE_generatedComplementaryUndocumented,component,magnetron,36769.0244457963
137,WEEE_generatedComplementaryUndocumented,component,mainboardInclCPUgpu,72650.9962102273
138,WEEE_generatedComplementaryUndocumented,component,non-electricCoil,61043.9949632905
139,WEEE_generatedComplementaryUndocumented,component,nonElectricCoil,95375.0191582518
140,WEEE_generatedComplementaryUndocumented,component,onOffSwitch,76202.00124620083
141,WEEE_generatedComplementaryUndocumented,component,otherElectricCompUnspecified,51089.67166878203
142,WEEE_generatedComplementaryUndocumented,component,otherNonElectricCompUnspecified,29588.06232582944
143,WEEE_generatedComplementaryUndocumented,component,passiveJunctionBox,64602.954218964005
144,WEEE_generatedComplementaryUndocumented,component,pcbWEEECat,84607.87746407177
145,WEEE_generatedComplementaryUndocumented,component,plug,57343.4087814095
146,WEEE_generatedComplementaryUndocumented,component,powerSupply,38068.941324109466
147,WEEE_generatedComplementaryUndocumented,component,printedCircuitBoard,58213.76646584809
148,WEEE_generatedComplementaryUndocumented,component,pump,33810.800626101045
149,WEEE_generatedComplementaryUndocumented,component,refrigerant,96115.52884077147
150,WEEE_generatedComplementaryUndocumented,component,remoteControl,10272.710506514233
151,WEEE_generatedComplementaryUndocumented,component,resistor,38475.13480610396
152,WEEE_generatedComplementaryUndocumented,component,rotor,86401.91162229874
153,WEEE_generatedComplementaryUndocumented,component,screw,30100.022578769698
154,WEEE_generatedComplementaryUndocumented,component,sensorUnspecified,83826.31547925452
155,WEEE_generatedComplementaryUndocumented,component,shadowComponentWEEE,50749.59350270881
156,WEEE_generatedComplementaryUndocumented,component,solenoidValve,21085.164591923414
157,WEEE_generatedComplementaryUndocumented,component,speakerEEE2,93012.48289931907
158,WEEE_generatedComplementaryUndocumented,component,switch,43200.40811756543
159,WEEE_generatedComplementaryUndocumented,component,tonerCartridge,41615.949755757036
160,WEEE_generatedComplementaryUndocumented,component,transformator,13626.128177210643
161,WEEE_generatedComplementaryUndocumented,component,transmission,85094.02583456667
162,WEEE_generatedComplementaryUndocumented,component,transmitter,84962.29392667042
163,WEEE_generatedComplementaryUndocumented,component,wheel,90289.22471933393
164,WEEE_2RM_mechRec1Smelter_other,component,ComponentShadowWEEE,1632.6854757384338
165,WEEE_2RM_mechRec1Smelter_other,component,ConductivitySensor,348.9959910022902
166,WEEE_2RM_mechRec1Smelter_other,component,LED,40.88678900895018
167,WEEE_2RM_mechRec1Smelter_other,component,LidarSensor (&lt;15cm),441.1637526680382
168,WEEE_2RM_mechRec1Smelter_other,component,MagnetSensor,209.80443964851236
169,WEEE_2RM_mechRec1Smelter_other,component,PCBWEEECat,15.192501280062197
170,WEEE_2RM_mechRec1Smelter_other,component,PCBunspecified,10.723317171675758
171,WEEE_2RM_mechRec1Smelter_other,component,PVBacksheet,1599.154459813982
172,WEEE_2RM_mechRec1Smelter_other,component,PVEncapsulationEVA,695.0817793580949
173,WEEE_2RM_mechRec1Smelter_other,component,PVFrameAl,80.04578290998107
174,WEEE_2RM_mechRec1Smelter_other,component,PVSolarGlass,611.164468353711
175,WEEE_2RM_mechRec1Smelter_other,component,PVcellSi,57.01689472612539
176,WEEE_2RM_mechRec1Smelter_other,component,WEEEEvaporator,36.70586462322938
177,WEEE_2RM_mechRec1Smelter_other,component,brush,18.537343055599113
178,WEEE_2RM_mechRec1Smelter_other,component,cableUnspecified,1705.2741648701012
179,WEEE_2RM_mechRec1Smelter_other,component,cableWOPlug,168.64993189621924
180,WEEE_2RM_mechRec1Smelter_other,component,cableWPlug,525.4907781035591
181,WEEE_2RM_mechRec1Smelter_other,component,cableWithConnector,593.2871627568251
182,WEEE_2RM_mechRec1Smelter_other,component,cables,1068.3144932222626
183,WEEE_2RM_mechRec1Smelter_other,component,cablewire,7.590416503897391
184,WEEE_2RM_mechRec1Smelter_other,component,capElectrolytic,16.45166755410103
185,WEEE_2RM_mechRec1Smelter_other,component,casingPlasticBased,717.9167212922025
186,WEEE_2RM_mechRec1Smelter_other,component,casingSteelBased,12.519449346642432
187,WEEE_2RM_mechRec1Smelter_other,component,casingUnspecified,150.79317546419486
188,WEEE_2RM_mechRec1Smelter_other,component,coldCathodeLamp,488.9531326188938
189,WEEE_2RM_mechRec1Smelter_other,component,compContainHazardSubst,157.32626409520935
190,WEEE_2RM_mechRec1Smelter_other,component,compressor,89.90675558454365
191,WEEE_2RM_mechRec1Smelter_other,component,condensator,16.140945910755235
192,WEEE_2RM_mechRec1Smelter_other,component,contactor,179.55846785890836
193,WEEE_2RM_mechRec1Smelter_other,component,displayCRT,71.87374905402478
194,WEEE_2RM_mechRec1Smelter_other,component,displayLCD,0.1647470069675998
195,WEEE_2RM_mechRec1Smelter_other,component,displayLCDunder100cm2,499.24523737867315
196,WEEE_2RM_mechRec1Smelter_other,component,displayOther,796.6872268733722
197,WEEE_2RM_mechRec1Smelter_other,component,displayPlasma,23.836283555435507
198,WEEE_2RM_mechRec1Smelter_other,component,driveCDDExt,1.0368477742371744
199,WEEE_2RM_mechRec1Smelter_other,component,driveCDDInt,1317.6572632823454
200,WEEE_2RM_mechRec1Smelter_other,component,driveFDD,6.686203682631491
201,WEEE_2RM_mechRec1Smelter_other,component,driveHDD,965.4621298920273
202,WEEE_2RM_mechRec1Smelter_other,component,driveUnspecified,3007.810717742256
203,WEEE_2RM_mechRec1Smelter_other,component,electricEngine,2335.0123627831163
204,WEEE_2RM_mechRec1Smelter_other,component,filterFoamBased,6.8617397017561075
205,WEEE_2RM_mechRec1Smelter_other,component,fuse,43.76754705141847
206,WEEE_2RM_mechRec1Smelter_other,component,gear,159.9369253581593
207,WEEE_2RM_mechRec1Smelter_other,component,heatingCoolingEEEairCondenser,107.15035028028815
208,WEEE_2RM_mechRec1Smelter_other,component,heatingCoolingEEEfan,55.910477211533724
209,WEEE_2RM_mechRec1Smelter_other,component,heatingCoolingEEEheatSink,381.49610473041935
210,WEEE_2RM_mechRec1Smelter_other,component,inductor,38.15014082873297
211,WEEE_2RM_mechRec1Smelter_other,component,insulation,36.2989985819699
212,WEEE_2RM_mechRec1Smelter_other,component,keyboard,70.65592347723005
213,WEEE_2RM_mechRec1Smelter_other,component,knob,589.6022389399249
214,WEEE_2RM_mechRec1Smelter_other,component,lenseAssembly,59.38716417439073
215,WEEE_2RM_mechRec1Smelter_other,component,lighting,45.18920727913702
216,WEEE_2RM_mechRec1Smelter_other,component,lightingFlash,168.45474310750916
217,WEEE_2RM_mechRec1Smelter_other,component,magnetPermanent,612.6558350044716
218,WEEE_2RM_mechRec1Smelter_other,component,magnetron,5.924322023782006
219,WEEE_2RM_mechRec1Smelter_other,component,mainboardInclCPUgpu,1.3383675349682196
220,WEEE_2RM_mechRec1Smelter_other,component,non-electricCoil,339.2124294994096
221,WEEE_2RM_mechRec1Smelter_other,component,nonElectricCoil,62.880449612132175
222,WEEE_2RM_mechRec1Smelter_other,component,onOffSwitch,481.6845977164001
223,WEEE_2RM_mechRec1Smelter_other,component,otherElectricCompUnspecified,908.6297654119161
224,WEEE_2RM_mechRec1Smelter_other,component,otherNonElectricCompUnspecified,115.87725071260834
225,WEEE_2RM_mechRec1Smelter_other,component,passiveJunctionBox,20.244388573693367
226,WEEE_2RM_mechRec1Smelter_other,component,plug,85.98324274447907
227,WEEE_2RM_mechRec1Smelter_other,component,powerSupply,450.07913441063255
228,WEEE_2RM_mechRec1Smelter_other,component,printedCircuitBoard,410.70125110352336
229,WEEE_2RM_mechRec1Smelter_other,component,pump,333.66049289684963
230,WEEE_2RM_mechRec1Smelter_other,component,refrigerant,1471.1468965165107
231,WEEE_2RM_mechRec1Smelter_other,component,remoteControl,29.80541012045688
232,WEEE_2RM_mechRec1Smelter_other,component,resistor,23.7541555571775
233,WEEE_2RM_mechRec1Smelter_other,component,rotor,86.80386427481658
234,WEEE_2RM_mechRec1Smelter_other,component,screw,641.1303619009873
235,WEEE_2RM_mechRec1Smelter_other,component,sensorUnspecified,400.1239625685124
236,WEEE_2RM_mechRec1Smelter_other,component,shadowComponentWEEE,110.92619483505369
237,WEEE_2RM_mechRec1Smelter_other,component,solenoidValve,43.54547604817978
238,WEEE_2RM_mechRec1Smelter_other,component,speakerEEE2,1207.84826353458
239,WEEE_2RM_mechRec1Smelter_other,component,switch,44.288684031559754
240,WEEE_2RM_mechRec1Smelter_other,component,tonerCartridge,1.574802993721742
241,WEEE_2RM_mechRec1Smelter_other,component,transformator,88.57478960031226
242,WEEE_2RM_mechRec1Smelter_other,component,transmission,1112.592838237126
243,WEEE_2RM_mechRec1Smelter_other,component,transmitter,35.34796689765598
244,WEEE_2RM_mechRec1Smelter_other,component,wheel,52.01411882526818
245,WEEE_generatedComplementaryMSW,component,ComponentShadowWEEE,44168.113040702956
246,WEEE_generatedComplementaryMSW,component,ConductivitySensor,69782.05044956383
247,WEEE_generatedComplementaryMSW,component,LED,37757.060313909096
248,WEEE_generatedComplementaryMSW,component,LidarSensor (&lt;15cm),44906.51351778804
249,WEEE_generatedComplementaryMSW,component,MagnetSensor,152485.76545081346
250,WEEE_generatedComplementaryMSW,component,PCBWEEECat,34960.65277661705
251,WEEE_generatedComplementaryMSW,component,PCBunspecified,45326.23336478033
252,WEEE_generatedComplementaryMSW,component,PVBacksheet,70126.39259011282
253,WEEE_generatedComplementaryMSW,component,PVEncapsulationEVA,100824.41377204441
254,WEEE_generatedComplementaryMSW,component,PVFrameAl,79021.03917323617
255,WEEE_generatedComplementaryMSW,component,PVSolarGlass,47404.03442667838
256,WEEE_generatedComplementaryMSW,component,PVcellSi,52233.85266310908
257,WEEE_generatedComplementaryMSW,component,WEEEEvaporator,34760.600610609654
258,WEEE_generatedComplementaryMSW,component,brush,33356.73285802657
259,WEEE_generatedComplementaryMSW,component,cableUnspecified,83997.12674170322
260,WEEE_generatedComplementaryMSW,component,cableWOPlug,16553.54743101958
261,WEEE_generatedComplementaryMSW,component,cableWPlug,40909.967735077305
262,WEEE_generatedComplementaryMSW,component,cableWithConnector,21765.925076468844
263,WEEE_generatedComplementaryMSW,component,cables,130628.57716491258
264,WEEE_generatedComplementaryMSW,component,cablewire,65137.32855510118
265,WEEE_generatedComplementaryMSW,component,capElectrolytic,53869.96776010792
266,WEEE_generatedComplementaryMSW,component,casingPlasticBased,66550.26447291044
267,WEEE_generatedComplementaryMSW,component,casingSteelBased,43112.51233186432
268,WEEE_generatedComplementaryMSW,component,casingUnspecified,76337.34284465796
269,WEEE_generatedComplementaryMSW,component,coldCathodeLamp,129715.71331950776
270,WEEE_generatedComplementaryMSW,component,compContainHazardSubst,43000.07265342399
271,WEEE_generatedComplementaryMSW,component,compressor,120079.41748333299
272,WEEE_generatedComplementaryMSW,component,condensator,74575.64891531358
273,WEEE_generatedComplementaryMSW,component,contactor,7811.200367425148
274,WEEE_generatedComplementaryMSW,component,displayCRT,92818.15493355792
275,WEEE_generatedComplementaryMSW,component,displayLCD,50315.716082490406
276,WEEE_generatedComplementaryMSW,component,displayLCDunder100cm2,49586.86702303019
277,WEEE_generatedComplementaryMSW,component,displayOther,72508.85188510004
278,WEEE_generatedComplementaryMSW,component,displayPlasma,124503.86091365428
279,WEEE_generatedComplementaryMSW,component,driveCDDExt,14062.49788929892
280,WEEE_generatedComplementaryMSW,component,driveCDDInt,72506.33828100364
281,WEEE_generatedComplementaryMSW,component,driveFDD,54622.196148315445
282,WEEE_generatedComplementaryMSW,component,driveHDD,86184.49702291546
283,WEEE_generatedComplementaryMSW,component,driveUnspecified,91997.47286709772
284,WEEE_generatedComplementaryMSW,component,electricEngine,203290.93773353568
285,WEEE_generatedComplementaryMSW,component,filterFoamBased,27784.27113249272
286,WEEE_generatedComplementaryMSW,component,fuse,96628.18970745095
287,WEEE_generatedComplementaryMSW,component,gear,23051.711666355124
288,WEEE_generatedComplementaryMSW,component,heatingCoolingEEEairCondenser,51867.59199977077
289,WEEE_generatedComplementaryMSW,component,heatingCoolingEEEfan,61247.749067389734
290,WEEE_generatedComplementaryMSW,component,heatingCoolingEEEheatSink,53355.82462181233
291,WEEE_generatedComplementaryMSW,component,inductor,36078.78472939558
292,WEEE_generatedComplementaryMSW,component,insulation,75956.73839514631
293,WEEE_generatedComplementaryMSW,component,keyboard,41030.56983491127
294,WEEE_generatedComplementaryMSW,component,knob,86160.1991505967
295,WEEE_generatedComplementaryMSW,component,lenseAssembly,8477.066691565256
296,WEEE_generatedComplementaryMSW,component,lighting,100146.01137214577
297,WEEE_generatedComplementaryMSW,component,lightingFlash,58626.58566504078
298,WEEE_generatedComplementaryMSW,component,magnetPermanent,91513.16300512326
299,WEEE_generatedComplementaryMSW,component,magnetron,39526.72490254107
