,flow,product,component,material,element,mass
23,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,O,3.524431097684042
24,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Sm,3.9194465524832194
25,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,glass,,34.352700366637194
26,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,glass,Ag,19.46724439368126
27,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,glass,Pd,2.3771024256777977
28,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,glass,Sc,2.503310061678357
29,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,glass,Zr,10.005043485599773
30,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,,57.812162183634676
31,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Ag,25.50911608309364
32,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Pd,9.178838402930197
33,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Sc,10.863955265786627
34,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Zr,12.260252431824268
35,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,,54.36387294938003
36,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ag,0.2879702276648528
37,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Al,2.9452873234758723
38,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,As,5.34423871426154
39,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ca,3.568666809066398
40,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Cl,1.6970788309415148
41,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Cu,3.6238406612349436
42,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Dy,2.373723885730148
43,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ga,1.3785298380943158
44,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Mn,10.259637242921361
45,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Mo,1.3846755891634774
46,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,O,1.760348404431648
47,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Pd,13.670464675128773
48,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Sm,3.186473618274946
49,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Sr,2.3542801569210856
50,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Zr,0.5286569720691956
51,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,,69.76599859187287
52,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Ag,22.1534110551768
53,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Al,45.272038503997855
54,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Dy,2.340549032698178
55,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,,49.5767908685009
56,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Ag,0.16954638604927427
57,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Pd,10.02627659117206
58,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Sc,10.782067486595581
59,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Zr,28.59890040468399
60,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherOrUndefinedMaterials,,16.480885426300397
61,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherOrUndefinedMaterials,Ag,16.480885426300397
62,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherOrganics,,38.67608687327629
63,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,otherOrganics,Ag,38.67608687327629
64,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,plastics,,115.2611286700514
65,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,plastics,Ag,115.2611286700514
66,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,undefinedAndMixedMaterials,,67.3119189369215
67,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,undefinedAndMixedMaterials,Ag,67.3119189369215
68,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,wood,,71.36638063832825
69,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,wood,Ag,71.36638063832825
70,WEEE_generatedComplementaryExported,WEEE_Cat1,ConductivitySensor,,,3586.074974388088
71,WEEE_generatedComplementaryExported,WEEE_Cat1,ConductivitySensor,CuAndCuAlloys,,1165.6749412901852
72,WEEE_generatedComplementaryExported,WEEE_Cat1,ConductivitySensor,ferrousMetals,,2420.4000330979025
73,WEEE_generatedComplementaryExported,WEEE_Cat1,LED,,,1707.7370086049339
74,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),,,231.8534980676221
75,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,,7.87623365528384
76,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Ag,0.41169267562266554
77,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,As,1.3584141689964113
78,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Cu,0.2843183587214265
79,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Ga,3.1937540807865155
80,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Mn,0.5292069367036255
81,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Mo,1.1939401865428476
82,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Sm,0.9049072479103498
83,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,,50.47635348989671
84,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,Ag,42.139091915417964
85,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,Dy,0.9461537022140035
86,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,Zr,7.391107872264741
87,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,,110.8879451907224
88,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Ag,69.62790588759974
89,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Ca,2.5504229607619453
90,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Cu,4.965508442634287
91,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Ga,13.562891625387959
92,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Mo,4.724368823169041
93,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,O,0.4676277832620943
94,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Sm,14.989219667907285
95,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),glass,,49.24245153078234
96,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Ag,23.87828370418338
97,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Pd,13.234186964560244
98,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Sc,6.454912686069664
99,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Zr,5.675068175969046
100,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),plastics,,13.370514200936876
101,WEEE_generatedComplementaryExported,WEEE_Cat1,LidarSensor (&lt;15cm),plastics,Ag,13.370514200936876
102,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,,,2607.079179995911
103,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,CuAndCuAlloys,,73.00108096684588
104,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,CuAndCuAlloys,Ag,62.46521353140611
105,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,CuAndCuAlloys,Dy,2.6137918029138842
106,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,CuAndCuAlloys,Zr,7.922075632525859
107,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,ferrousMetals,,970.6584682864732
108,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,ferrousMetals,Ag,235.61852782737893
109,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,ferrousMetals,Ca,336.9455864996791
110,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,ferrousMetals,Ga,85.35291317363517
111,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,ferrousMetals,Mo,23.112296779644204
112,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,ferrousMetals,Sm,289.62914400613636
113,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,plastics,,1563.4196307425923
114,WEEE_generatedComplementaryExported,WEEE_Cat1,MagnetSensor,plastics,Ag,1563.4196307425923
115,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBWEEECat,,,1495.5628618787707
116,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBWEEECat,otherOrUndefinedMaterials,,1495.5628618787707
117,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBWEEECat,otherOrUndefinedMaterials,Ag,1495.5628618787707
118,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBunspecified,,,3217.748030020034
119,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBunspecified,ferrousMetals,,3217.748030020034
120,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBunspecified,ferrousMetals,Ag,846.2761739103048
121,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBunspecified,ferrousMetals,Cu,214.85235891704136
122,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBunspecified,ferrousMetals,Ga,758.4398444388379
123,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBunspecified,ferrousMetals,Mo,369.7535034104353
124,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBunspecified,ferrousMetals,O,704.8917827672095
125,WEEE_generatedComplementaryExported,WEEE_Cat1,PCBunspecified,ferrousMetals,Sm,323.53436657620455
126,WEEE_generatedComplementaryExported,WEEE_Cat1,PVBacksheet,,,3054.1529026241055
127,WEEE_generatedComplementaryExported,WEEE_Cat1,PVBacksheet,plasticComposites,,444.34426797885857
128,WEEE_generatedComplementaryExported,WEEE_Cat1,PVBacksheet,plasticComposites,Ag,444.34426797885857
129,WEEE_generatedComplementaryExported,WEEE_Cat1,PVBacksheet,plastics,,2609.808634645247
130,WEEE_generatedComplementaryExported,WEEE_Cat1,PVBacksheet,plastics,Ag,2609.808634645247
131,WEEE_generatedComplementaryExported,WEEE_Cat1,PVEncapsulationEVA,,,334.1352821258673
132,WEEE_generatedComplementaryExported,WEEE_Cat1,PVEncapsulationEVA,plastics,,334.1352821258673
133,WEEE_generatedComplementaryExported,WEEE_Cat1,PVEncapsulationEVA,plastics,Ag,334.1352821258673
134,WEEE_generatedComplementaryExported,WEEE_Cat1,PVFrameAl,,,2607.207790111145
135,WEEE_generatedComplementaryExported,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,,2607.207790111145
136,WEEE_generatedComplementaryExported,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Ag,19.633433021946967
137,WEEE_generatedComplementaryExported,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,As,98.62558489295107
138,WEEE_generatedComplementaryExported,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Cu,206.39356236399843
139,WEEE_generatedComplementaryExported,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Ga,711.2379420157445
140,WEEE_generatedComplementaryExported,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Mn,373.6872378711026
141,WEEE_generatedComplementaryExported,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Mo,666.8783540686112
142,WEEE_generatedComplementaryExported,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,Sm,530.7516758767907
143,WEEE_generatedComplementaryExported,WEEE_Cat1,PVSolarGlass,,,386.54963220603537
144,WEEE_generatedComplementaryExported,WEEE_Cat1,PVSolarGlass,glass,,386.54963220603537
145,WEEE_generatedComplementaryExported,WEEE_Cat1,PVSolarGlass,glass,Ag,153.90658169562502
146,WEEE_generatedComplementaryExported,WEEE_Cat1,PVSolarGlass,glass,Pd,0.8979322825224462
147,WEEE_generatedComplementaryExported,WEEE_Cat1,PVSolarGlass,glass,Sc,78.27726413993652
148,WEEE_generatedComplementaryExported,WEEE_Cat1,PVSolarGlass,glass,Zr,153.46785408795165
149,WEEE_generatedComplementaryExported,WEEE_Cat1,PVcellSi,,,4207.643525164841
150,WEEE_generatedComplementaryExported,WEEE_Cat1,PVcellSi,otherOrUndefinedMaterials,,4207.643525164841
151,WEEE_generatedComplementaryExported,WEEE_Cat1,PVcellSi,otherOrUndefinedMaterials,Ag,4207.643525164841
152,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,,,2038.4661448946463
153,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,CuAndCuAlloys,,336.9243118565063
154,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,CuAndCuAlloys,Ag,93.90903282043706
155,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,CuAndCuAlloys,Dy,67.46161429520743
156,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,CuAndCuAlloys,Zr,175.5536647408618
157,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,,1701.54183303814
158,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,Ag,122.52824929772339
159,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,Cu,493.06277703003303
160,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,Ga,60.72216356476382
161,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,Mo,229.2880069921753
162,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,O,360.99443717858065
163,WEEE_generatedComplementaryExported,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,Sm,434.9461989748641
164,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,,,797.7050227949344
165,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,AlAndAlAlloys,,497.3317735614416
166,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,AlAndAlAlloys,Ag,42.07165337795422
167,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,AlAndAlAlloys,As,280.1485032581632
168,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,AlAndAlAlloys,Cu,46.12840213346982
169,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,AlAndAlAlloys,Ga,23.55661512311336
170,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,AlAndAlAlloys,Mn,41.329546274252486
171,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,AlAndAlAlloys,Mo,44.09506054828832
172,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,AlAndAlAlloys,Sm,20.001992846200018
173,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,ferrousMetals,,30.27129170981154
174,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,ferrousMetals,Ag,7.461579597971747
175,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,ferrousMetals,Ca,2.0180391494203755
176,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,ferrousMetals,Ga,4.2879591998349875
177,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,ferrousMetals,Mo,4.405069205526029
178,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,ferrousMetals,Sm,12.098644557058428
179,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,plastics,,270.10195752368116
180,WEEE_generatedComplementaryExported,WEEE_Cat1,brush,plastics,Ag,270.10195752368116
181,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,,,1747.5652437693184
182,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,,180.96613278401688
183,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Ag,4.939541050405292
184,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,As,2.3267976492100058
185,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Cu,14.032739746541575
186,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Ga,5.15050521974925
187,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Mn,37.629189623626424
188,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Mo,20.80475739809951
189,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,Sm,96.08260209638476
190,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,CuAndCuAlloys,,79.89790272830842
191,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,CuAndCuAlloys,Ag,24.326094161662223
192,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,CuAndCuAlloys,Dy,10.776399005150534
193,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,CuAndCuAlloys,Zr,44.79540956149565
194,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,ferrousMetals,,1467.4748724924086
195,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,ferrousMetals,Ag,372.9723744633354
196,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,ferrousMetals,Cu,355.6445210892999
197,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,ferrousMetals,Ga,446.10600415897636
198,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,ferrousMetals,Mo,181.50895952295767
199,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,ferrousMetals,O,82.32759817834489
200,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,ferrousMetals,Sm,28.915415079496317
201,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,plastics,,19.226335764583986
202,WEEE_generatedComplementaryExported,WEEE_Cat1,cableUnspecified,plastics,Ag,19.226335764583986
203,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWOPlug,,,38.68163308448172
204,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWPlug,,,1861.225497985952
205,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWPlug,AlAndAlAlloys,,236.27917020071965
206,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWPlug,ferrousMetals,,1109.6052667733145
207,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWPlug,plastics,,515.3410610119176
208,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWPlug,plastics,Ag,515.3410610119176
209,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWithConnector,,,806.5679513350403
210,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWithConnector,CuAndCuAlloys,,806.5679513350403
211,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWithConnector,CuAndCuAlloys,Ag,499.638376875966
212,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWithConnector,CuAndCuAlloys,Dy,245.975410747239
213,WEEE_generatedComplementaryExported,WEEE_Cat1,cableWithConnector,CuAndCuAlloys,Zr,60.95416371183559
214,WEEE_generatedComplementaryExported,WEEE_Cat1,cables,,,1810.0151066522008
215,WEEE_generatedComplementaryExported,WEEE_Cat1,cables,otherOrUndefinedMaterials,,1810.0151066522008
216,WEEE_generatedComplementaryExported,WEEE_Cat1,cables,otherOrUndefinedMaterials,Ag,1810.0151066522008
217,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,,,1563.4227763182796
218,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,AlAndAlAlloys,,414.745697525194
219,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,AlAndAlAlloys,Ag,14.49003741416022
220,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,AlAndAlAlloys,As,10.75627120218397
221,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,AlAndAlAlloys,Cu,77.7945381754463
222,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,AlAndAlAlloys,Ga,61.083960985824746
223,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,AlAndAlAlloys,Mn,73.60027810152869
224,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,AlAndAlAlloys,Mo,25.257371312517204
225,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,AlAndAlAlloys,Sm,151.7632403335326
226,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,CuAndCuAlloys,,789.1072831468156
227,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,CuAndCuAlloys,Ag,275.7634021199316
228,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,CuAndCuAlloys,Dy,155.82904814264302
229,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,CuAndCuAlloys,Zr,357.51483288424106
230,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,ferrousMetals,,350.48112503874773
231,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,ferrousMetals,Ag,3.419646471129246
232,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,ferrousMetals,Ca,49.21158518857289
233,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,ferrousMetals,Ga,149.31036248109598
234,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,ferrousMetals,Mo,134.28638639558125
235,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,ferrousMetals,Sm,14.2531445023685
236,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,plastics,,9.088670607522984
237,WEEE_generatedComplementaryExported,WEEE_Cat1,cablewire,plastics,Ag,9.088670607522984
238,WEEE_generatedComplementaryExported,WEEE_Cat1,capElectrolytic,,,864.6326916584003
239,WEEE_generatedComplementaryExported,WEEE_Cat1,capElectrolytic,CuAndCuAlloys,,663.6857770326558
240,WEEE_generatedComplementaryExported,WEEE_Cat1,capElectrolytic,CuAndCuAlloys,Ag,34.04026871860007
241,WEEE_generatedComplementaryExported,WEEE_Cat1,capElectrolytic,CuAndCuAlloys,Dy,9.328269285680056
242,WEEE_generatedComplementaryExported,WEEE_Cat1,capElectrolytic,CuAndCuAlloys,Zr,620.317239028376
243,WEEE_generatedComplementaryExported,WEEE_Cat1,capElectrolytic,undefinedAndMixedMaterials,,200.94691462574463
244,WEEE_generatedComplementaryExported,WEEE_Cat1,capElectrolytic,undefinedAndMixedMaterials,Ag,200.94691462574463
